,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
105,8.0,Robbie Gould (SF),33.0,34.0,97.1,53.0,0.0,9.0,13.0,9.0,2.0,27.0,29.0,16.0,139.0,8.7,38.2%
106,9.0,Brett Maher (DAL),29.0,36.0,80.6,62.0,0.0,10.0,6.0,7.0,6.0,32.0,33.0,16.0,138.0,8.6,1.3%
107,10.0,Stephen Gostkowski (FA),27.0,32.0,84.4,52.0,0.0,11.0,10.0,4.0,2.0,49.0,50.0,16.0,138.0,8.6,0.0%
108,11.0,Matt Prater (ARI),28.0,32.0,87.5,54.0,0.0,8.0,12.0,5.0,3.0,30.0,30.0,16.0,129.3,8.1,76.5%
109,12.0,Greg Zuerlein (NYJ),27.0,31.0,87.1,56.0,0.0,9.0,10.0,4.0,4.0,35.0,36.0,11.0,128.0,11.6,2.0%
110,13.0,Sebastian Janikowski (FA),22.0,27.0,81.5,56.0,0.0,2.0,9.0,8.0,3.0,48.0,51.0,16.0,128.0,8.0,20.0%
111,14.0,Adam Vinatieri (FA),23.0,27.0,85.2,54.0,0.0,8.0,6.0,5.0,4.0,44.0,47.0,16.0,126.0,7.9,0.2%
112,15.0,Cody Parkey (FA),23.0,30.0,76.7,50.0,0.0,6.0,7.0,9.0,1.0,42.0,45.0,16.0,122.0,7.6,0.0%
113,16.0,Jake Elliott (PHI),26.0,31.0,83.9,56.0,0.0,7.0,10.0,7.0,2.0,33.0,35.0,16.0,122.0,7.6,25.7%
114,17.0,Dustin Hopkins (LAC),26.0,29.0,89.7,56.0,0.0,5.0,7.0,10.0,4.0,25.0,26.0,16.0,121.0,7.6,32.5%
115,18.0,Ryan Succop (TB),26.0,30.0,86.7,54.0,0.0,5.0,13.0,5.0,3.0,28.0,31.0,16.0,117.0,7.3,39.5%
116,19.0,Matt Bryant (FA),20.0,21.0,95.2,57.0,0.0,4.0,5.0,7.0,4.0,33.0,35.0,13.0,108.0,8.3,1.1%
117,20.0,Brandon McManus (DEN),20.0,25.0,80.0,53.0,0.0,5.0,6.0,7.0,2.0,35.0,35.0,16.0,106.0,6.6,69.1%
118,21.0,Randy Bullock (TEN),19.0,23.0,82.6,51.0,0.0,4.0,7.0,6.0,2.0,39.0,41.0,16.0,106.0,6.6,2.8%
119,22.0,Stephen Hauschka (FA),22.0,28.0,78.6,54.0,0.0,3.0,8.0,7.0,4.0,25.0,26.0,16.0,106.0,6.6,0.0%
120,23.0,Dan Bailey (FA),21.0,28.0,75.0,52.0,0.0,5.0,11.0,4.0,1.0,30.0,31.0,14.0,99.0,7.1,0.0%
121,24.0,Jason Sanders (MIA),18.0,20.0,90.0,50.0,0.0,7.0,3.0,7.0,1.0,35.0,36.0,16.0,98.0,6.1,5.0%
122,25.0,Chris Boswell (PIT),13.0,20.0,65.0,50.0,0.0,3.0,4.0,5.0,1.0,43.0,48.0,15.0,93.1,6.2,11.2%
123,26.0,Daniel Carlson (LV),17.0,21.0,81.0,50.0,0.0,2.0,3.0,9.0,3.0,24.0,24.0,12.0,90.0,7.5,96.5%
124,27.0,Josh Lambo (FA),19.0,21.0,90.5,57.0,0.0,4.0,8.0,3.0,4.0,19.0,20.0,13.0,87.0,6.7,0.0%
125,28.0,Chandler Catanzaro (FA),16.0,20.0,80.0,59.0,0.0,4.0,9.0,0.0,3.0,30.0,35.0,13.0,84.0,6.5,0.0%
126,29.0,Greg Joseph (MIN),17.0,20.0,85.0,51.0,0.0,4.0,7.0,5.0,1.0,25.0,29.0,14.0,83.0,5.9,49.2%
127,30.0,Graham Gano (NYG),14.0,16.0,87.5,63.0,0.0,3.0,4.0,4.0,3.0,30.0,33.0,12.0,82.0,6.8,21.7%
128,31.0,Michael Badgley (FA),15.0,16.0,93.8,59.0,0.0,4.0,5.0,5.0,1.0,27.0,28.0,10.0,79.0,7.9,15.6%
129,32.0,Cairo Santos (CHI),14.0,18.0,77.8,45.0,1.0,4.0,6.0,3.0,0.0,22.0,23.0,9.0,67.0,7.4,1.0%
130,33.0,Zane Gonzalez (CAR),9.0,14.0,64.3,55.0,0.0,1.0,4.0,2.0,2.0,8.0,11.0,7.0,41.0,5.9,0.1%
131,34.0,Caleb Sturgis (FA),9.0,13.0,69.2,49.0,0.0,4.0,2.0,3.0,0.0,9.0,15.0,6.0,39.0,6.5,0.0%
132,35.0,Matt McCrane (FA),8.0,12.0,66.7,47.0,0.0,3.0,2.0,3.0,0.0,9.0,9.0,5.0,36.0,7.2,0.0%
133,36.0,Phil Dawson (FA),5.0,8.0,62.5,43.0,0.0,2.0,2.0,1.0,0.0,15.0,15.0,10.0,31.0,3.1,0.1%
134,37.0,Giorgio Tavecchio (FA),5.0,5.0,100.0,56.0,0.0,1.0,0.0,2.0,2.0,8.0,8.0,3.0,29.0,9.7,1.0%
135,38.0,Mike Nugent (FA),6.0,6.0,100.0,52.0,0.0,3.0,0.0,2.0,1.0,4.0,5.0,3.0,26.0,8.7,1.0%
136,39.0,Kai Forbath (LAR),4.0,5.0,80.0,41.0,0.0,2.0,1.0,1.0,0.0,3.0,3.0,3.0,16.0,5.3,3.0%
