,Rank,Player,FG,FGA,PCT,LG,1-19,20-29,30-39,40-49,50+,XPT,XPA,G,FPTS,FPTS/G,ROST
202,13.0,Greg Zuerlein (NYJ),29.0,35.0,82.9,56.0,0.0,5.0,15.0,7.0,2.0,42.0,48.0,16.0,140.0,8.8,2.0%
203,14.0,Ryan Succop (TB),25.0,30.0,83.3,48.0,0.0,11.0,7.0,7.0,0.0,56.0,59.0,17.0,138.0,8.1,39.5%
204,15.0,Mason Crosby (GB),25.0,34.0,73.5,54.0,0.0,9.0,9.0,4.0,3.0,49.0,51.0,17.0,134.0,7.9,4.8%
205,16.0,Randy Bullock (TEN),26.0,31.0,83.9,51.0,0.0,5.0,12.0,8.0,1.0,42.0,45.0,16.0,130.0,8.1,2.8%
206,17.0,Brandon McManus (DEN),26.0,31.0,83.9,61.0,0.0,7.0,6.0,8.0,5.0,33.0,34.0,17.0,129.0,7.6,69.1%
207,18.0,Younghoe Koo (ATL),27.0,29.0,93.1,54.0,0.0,8.0,9.0,6.0,4.0,30.0,30.0,17.0,125.0,7.4,23.0%
208,19.0,Graham Gano (NYG),29.0,33.0,87.9,55.0,0.0,5.0,12.0,5.0,7.0,17.0,17.0,17.0,123.0,7.2,21.7%
209,20.0,Cairo Santos (CHI),26.0,30.0,86.7,47.0,0.0,10.0,5.0,11.0,0.0,27.0,28.0,17.0,116.0,6.8,1.0%
210,21.0,Jason Sanders (MIA),23.0,31.0,74.2,51.0,0.0,6.0,7.0,8.0,2.0,34.0,35.0,17.0,115.0,6.8,5.0%
211,22.0,Robbie Gould (SF),20.0,23.0,87.0,52.0,0.0,6.0,4.0,7.0,3.0,39.0,40.0,13.0,112.0,8.6,38.2%
212,23.0,Jason Myers (SEA),17.0,23.0,73.9,53.0,0.0,2.0,9.0,3.0,3.0,44.0,47.0,17.0,104.0,6.1,1.0%
213,24.0,Michael Badgley (FA),18.0,22.0,81.8,46.0,0.0,4.0,6.0,8.0,0.0,40.0,41.0,13.0,102.0,7.8,15.6%
214,25.0,Joey Slye (WAS),23.0,25.0,92.0,56.0,0.0,9.0,5.0,5.0,4.0,18.0,22.0,12.0,100.0,8.3,1.3%
215,26.0,Zane Gonzalez (CAR),20.0,22.0,90.9,57.0,0.0,6.0,1.0,10.0,3.0,22.0,23.0,12.0,98.0,8.2,0.1%
216,27.0,Chase McLaughlin (FA),15.0,21.0,71.4,57.0,0.0,3.0,4.0,4.0,4.0,36.0,37.0,16.0,93.0,5.8,0.0%
217,28.0,Matthew Wright (FA),21.0,24.0,87.5,56.0,0.0,7.0,7.0,3.0,4.0,13.0,15.0,14.0,87.0,6.2,0.0%
218,29.0,Ka'imi Fairbairn (HOU),15.0,19.0,78.9,61.0,0.0,4.0,5.0,2.0,4.0,13.0,16.0,13.0,68.0,5.2,0.3%
219,30.0,Brett Maher (DAL),16.0,18.0,88.9,42.0,0.0,4.0,8.0,4.0,0.0,10.0,12.0,8.0,62.0,7.8,1.3%
220,31.0,Riley Patterson (JAC),13.0,14.0,92.9,49.0,0.0,3.0,6.0,4.0,0.0,16.0,16.0,7.0,59.0,8.4,0.3%
221,32.0,Matt Ammendola (FA),13.0,19.0,68.4,49.0,0.0,5.0,6.0,2.0,0.0,14.0,15.0,11.0,55.0,5.0,0.0%
222,33.0,Rodrigo Blankenship (IND),11.0,14.0,78.6,48.0,0.0,3.0,3.0,5.0,0.0,7.0,8.0,5.0,45.0,9.0,16.2%
223,34.0,Brian Johnson (FA),10.0,10.0,100.0,52.0,0.0,5.0,3.0,1.0,1.0,9.0,13.0,8.0,42.0,5.3,0.0%
224,35.0,Austin Seibert (DET),10.0,12.0,83.3,52.0,0.0,0.0,4.0,5.0,1.0,5.0,5.0,6.0,42.0,7.0,0.9%
225,36.0,Eddy Pineiro (CAR),8.0,8.0,100.0,51.0,0.0,2.0,2.0,3.0,1.0,9.0,10.0,5.0,38.0,7.6,0.2%
226,37.0,Tristan Vizcaino (FA),6.0,7.0,85.7,46.0,0.0,3.0,2.0,1.0,0.0,10.0,15.0,6.0,29.0,4.8,0.0%
227,38.0,Aldrick Rosas (DET),2.0,5.0,40.0,44.0,0.0,0.0,0.0,2.0,0.0,14.0,14.0,5.0,22.0,4.4,0.0%
228,39.0,Lirim Hajrullahu (FA),4.0,5.0,80.0,35.0,0.0,2.0,2.0,0.0,0.0,8.0,8.0,4.0,20.0,5.0,0.1%
229,40.0,Ryan Santoso (FA),4.0,5.0,80.0,35.0,0.0,3.0,1.0,0.0,0.0,6.0,8.0,4.0,18.0,4.5,0.1%
230,41.0,Elliott Fry (FA),4.0,5.0,80.0,44.0,0.0,0.0,3.0,1.0,0.0,4.0,5.0,3.0,17.0,5.7,0.0%
231,42.0,Dominik Eberle (DET),2.0,3.0,66.7,51.0,0.0,1.0,0.0,0.0,1.0,5.0,5.0,1.0,13.0,13.0,0.0%
232,43.0,Chris Blewitt (FA),2.0,5.0,40.0,52.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,11.0,5.5,0.0%
233,44.0,Josh Lambo (FA),0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,3.0,5.0,1.7,0.0%
234,45.0,Chris Naggar (FA),1.0,1.0,100.0,37.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,4.0,4.0,0.5%
235,46.0,Cody Parkey (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,5.0,1.0,3.0,3.0,0.0%
236,47.0,Cameron Nizialek (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0%
237,48.0,JJ Molson (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0%
238,49.0,Alex Kessman (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0%
239,50.0,Michael Palardy (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,33.3%
240,51.0,Ty Long (FA),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.7%
241,,,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,,,
