Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
107,DaeSean Hamilton (FA),23,44,293,12.7,40,4,2,0,0,0,1,16,39.3,2.5,0.00%
108,Denzel Mims (NYJ),23,44,357,15.5,30,7,0,0,0,0,0,9,37.7,4.2,0.10%
109,Julian Edelman (FA),21,39,315,15,49,6,0,2,22,0,0,6,35.2,5.9,12.10%
110,Adam Humphries (FA),23,35,228,9.9,23,2,2,1,0,0,0,7,34.8,5,1.00%
111,Cedrick Wilson Jr. (MIA),17,28,189,11.1,42,6,2,3,-12,0,0,16,34.6,2.2,2.60%
112,Andy Isabella (ARI),21,35,224,10.7,54,6,2,1,-6,0,0,13,33.8,2.6,0.10%
113,Olamide Zaccheaus (ATL),20,32,274,13.7,51,7,1,1,0,0,0,11,33.4,3,0.20%
114,Devin Duvernay (BAL),20,26,201,10.1,39,2,0,4,70,0,0,16,33.1,2.1,16.70%
115,DeSean Jackson (FA),14,26,236,16.9,81,6,1,1,12,0,0,5,30.8,6.2,5.00%
116,Steven Sims Jr. (PIT),27,37,265,9.8,30,4,1,1,18,0,2,12,30.3,2.5,0.00%
117,Chad Beebe (FA),20,30,201,10.1,40,3,2,0,0,0,1,14,30.1,2.2,0.00%
118,Chad Hansen (FA),17,24,236,13.9,38,4,1,0,0,0,0,5,29.6,5.9,0.00%
119,Tyler Johnson (HOU),12,17,169,14.1,35,5,2,0,0,0,0,14,28.9,2.1,0.10%
120,Dontrelle Inman (FA),18,28,163,9.1,17,0,2,0,0,0,0,10,28.3,2.8,0.00%
121,Byron Pringle (CHI),13,17,160,12.3,37,5,1,0,0,0,0,12,28,2.3,0.80%
122,Van Jefferson (LAR),19,31,220,11.6,31,3,1,1,-1,0,0,16,27.9,1.7,10.90%
123,Freddie Swain (MIA),13,21,159,12.2,23,3,2,0,0,0,0,16,27.9,1.7,0.00%
124,Deonte Harty (NO),20,25,186,9.3,40,3,1,6,51,0,1,9,27.7,3.1,0.20%
125,Isaiah Ford (FA),28,44,276,9.9,18,0,0,0,0,0,0,10,27.6,2.8,0.00%
126,Mohamed Sanu Sr. (FA),17,24,187,11,21,3,1,1,3,0,0,10,27,2.7,0.00%
127,Lynn Bowden Jr. (NE),28,37,211,7.5,22,1,0,9,32,0,0,10,25.6,2.6,0.00%
128,Marcus Johnson (NYG),14,28,255,18.2,55,10,0,0,0,0,0,11,25.5,2.3,0.00%
129,Bryan Edwards (ATL),11,15,193,17.5,34,6,1,0,0,0,0,12,25.3,2.1,0.90%
130,Zay Jones (JAC),14,20,154,11,37,2,1,0,0,0,0,16,22.6,1.4,6.60%
131,Mack Hollins (LV),16,25,176,11,34,3,1,0,0,0,1,16,21.6,1.4,0.20%
132,Marquez Callaway (NO),21,27,213,10.1,27,1,0,0,0,0,0,11,21.3,1.9,0.70%
133,Bisi Johnson (MIN),14,19,189,13.5,29,3,0,0,0,0,0,16,20.9,1.3,0.00%
134,Gunner Olszewski (PIT),5,5,62,12.4,38,2,1,5,23,0,0,13,20.5,1.6,0.10%
135,Kenny Stills (FA),11,19,144,13.1,24,2,1,0,0,0,0,10,20.4,2,0.00%
136,Isaiah Wright (FA),27,35,197,7.3,22,1,0,3,16,0,1,14,19.3,1.4,0.00%
137,John Hightower (FA),10,29,167,16.7,59,8,0,1,1,0,0,13,18.8,1.4,0.00%
138,Equanimeous St. Brown (CHI),7,13,117,16.7,24,3,1,1,7,0,0,12,18.4,1.5,0.20%
139,Kalif Raymond (DET),9,15,187,20.8,61,9,0,1,-3,0,0,15,18.4,1.2,0.10%
140,Cameron Batson (ATL),12,13,100,8.3,18,0,1,4,20,0,0,12,18,1.5,0.00%
141,KhaDarel Hodge (ATL),11,17,180,16.4,42,4,0,0,0,0,0,9,18,2,0.00%
142,Brandon Powell (LAR),12,18,69,5.8,13,0,2,2,7,0,1,15,17.6,1.2,0.10%
143,Alshon Jeffery (FA),6,13,115,19.2,39,4,1,0,0,0,0,7,17.5,2.5,0.00%
144,Mike Thomas (CIN),13,21,132,10.2,29,2,1,1,1,0,1,14,17.3,1.2,0.10%
145,KeeSean Johnson (FA),15,23,173,11.5,45,5,0,0,0,0,0,8,17.3,2.2,0.00%
146,Laquon Treadwell (NE),6,7,49,8.2,14,0,2,0,0,0,0,5,16.9,3.4,0.00%
147,Jeff Smith (NYJ),17,37,167,9.8,21,1,0,0,0,0,0,12,16.7,1.4,0.00%
148,Dez Bryant (FA),6,11,47,7.8,16,0,2,0,0,0,0,6,16.7,2.8,5.00%
149,Quez Watkins (PHI),7,13,106,15.1,43,5,1,0,0,0,0,6,16.6,2.8,0.40%
150,Jamal Agnew (JAC),13,20,89,6.8,20,1,0,6,33,0,1,14,16.2,1.2,0.10%
151,Noah Brown (DAL),14,24,154,11,20,1,0,1,4,0,0,16,15.8,1,0.90%
152,Malcolm Perry (FA),9,13,92,10.2,25,1,1,3,5,0,0,9,15.7,1.7,0.00%
153,Auden Tate (PHI),14,22,150,10.7,19,0,0,0,0,0,0,9,15,1.7,0.00%
154,Christian Blake (FA),13,18,141,10.8,25,3,0,0,0,0,0,16,14.1,0.9,0.00%
155,Malik Taylor (FA),5,6,66,13.2,26,2,1,1,9,0,0,15,13.5,0.9,0.00%
156,DeMichael Harris (FA),10,10,79,7.9,21,1,0,6,46,0,0,7,12.5,1.8,0.00%
157,Ray-Ray McCloud (SF),20,22,77,3.9,13,0,0,4,65,0,1,16,12.2,0.8,0.10%
158,Chris Hogan (FA),14,26,118,8.4,27,1,0,0,0,0,0,5,11.8,2.4,0.00%
159,Dante Pettis (CHI),4,6,76,19,33,3,1,0,0,0,1,7,11.6,1.7,0.00%
160,Javon Wims (FA),6,12,48,8,13,0,1,1,2,0,0,13,11,0.8,0.00%
161,Alex Erickson (WAS),12,17,139,11.6,42,4,0,5,7,0,2,16,10.6,0.7,0.00%
162,Lil'Jordan Humphrey (NE),3,5,46,15.3,17,0,1,0,0,0,0,3,10.6,3.5,0.10%
163,Diontae Spencer (NYJ),3,6,26,8.7,10,0,0,3,19,0,0,11,10.5,1,0.00%
164,J.J. Arcega-Whiteside (SEA),4,8,85,21.3,37,4,0,0,0,0,0,8,10.5,1.3,0.10%
165,C.J. Board (FA),11,16,101,9.2,16,0,0,1,3,0,0,14,10.4,0.7,0.00%
166,Justin Watson (KC),7,11,94,13.4,36,2,0,0,0,0,0,11,9.4,0.9,0.20%
167,Austin Mack (FA),7,11,91,13,50,4,0,0,0,0,0,11,9.1,0.8,0.00%
168,Joe Reed (LAC),0,1,0,0,0,0,0,5,29,1,0,11,8.9,0.8,0.00%
169,Parris Campbell (IND),6,9,71,11.8,21,1,0,2,16,0,0,2,8.7,4.4,3.80%
170,Austin Carr (FA),3,4,27,9,11,0,1,0,0,0,0,6,8.7,1.5,0.00%
171,Trent Taylor (CIN),10,21,86,8.6,29,2,0,0,0,0,0,12,8.6,0.7,0.10%
172,Jake Kumerow (BUF),1,1,22,22,22,1,1,0,0,0,0,6,8.2,1.4,0.10%
173,Pharoh Cooper (FA),5,8,73,14.6,32,2,0,0,0,0,0,16,7.3,0.5,0.00%
174,Courtland Sutton (DEN),3,6,66,22,45,4,0,0,0,0,0,1,6.6,6.6,97.20%
175,Ashton Dulin (IND),3,6,53,17.7,34,2,0,2,11,0,0,13,6.4,0.5,0.10%
176,Damion Ratley (FA),4,10,63,15.8,29,1,0,0,0,0,0,5,6.3,1.3,0.00%
177,Tyrie Cleveland (DEN),6,9,63,10.5,17,0,0,0,0,0,0,10,6.3,0.6,0.10%
178,Ja'Marcus Bradley (FA),5,11,60,12,22,1,0,0,0,0,0,3,6,2,0.00%
179,Steven Mitchell Jr. (FA),5,8,60,12,20,1,0,0,0,0,0,6,6,1,0.00%
180,Jaydon Mickens (FA),7,10,58,8.3,11,0,0,0,0,0,0,10,5.8,0.6,0.00%
181,KJ Hill Jr. (FA),7,11,73,10.4,25,1,0,0,0,0,1,15,5.3,0.4,0.00%
182,Nick Westbrook-Ikhine (TEN),3,8,33,11,19,0,0,0,0,0,0,14,5.3,0.4,1.70%
183,Trent Sherfield (MIA),5,7,50,10,26,1,0,0,0,0,0,15,5,0.3,0.00%
184,Isaiah Zuber (LV),2,2,29,14.5,16,0,0,2,21,0,0,4,5,1.3,0.00%
185,River Cracraft (MIA),6,9,41,6.8,12,0,0,0,0,0,0,9,4.1,0.5,0.00%
186,Ted Ginn Jr. (FA),3,6,40,13.3,29,1,0,0,0,0,0,5,4,0.8,0.00%
187,Riley Ridley (FA),4,4,39,9.8,18,0,0,0,0,0,0,5,3.9,0.8,0.00%
188,Robert Foster (FA),2,6,37,18.5,28,1,0,0,0,0,0,4,3.7,0.9,0.00%
189,Brandon Zylstra (FA),3,4,35,11.7,28,1,0,1,1,0,0,16,3.6,0.2,0.00%
190,Lawrence Cager (NYJ),2,6,35,17.5,19,0,0,0,0,0,0,2,3.5,1.8,0.00%
191,Terry Godwin (FA),3,6,32,10.7,21,1,0,1,3,0,0,3,3.5,1.2,0.00%
192,Seth Roberts (FA),4,6,31,7.8,12,0,0,0,0,0,0,7,3.1,0.4,0.00%
193,Josh Malone (FA),4,6,16,4,13,0,0,1,12,0,0,4,2.8,0.7,0.00%
194,Darrius Shepherd (DEN),5,8,46,9.2,19,0,0,0,0,0,1,8,2.6,0.3,0.00%
195,Antonio Gandy-Golden (FA),1,7,3,3,3,0,0,1,22,0,0,6,2.5,0.4,0.00%
196,Daurice Fountain (KC),2,3,23,11.5,12,0,0,0,0,0,0,5,2.3,0.5,0.00%
197,Penny Hart (SEA),1,1,3,3,3,0,0,1,19,0,0,13,2.2,0.2,0.00%
198,Antonio Callaway (FA),2,4,20,10,13,0,0,0,0,0,0,5,2,0.4,0.00%
199,Donte Moncrief (FA),1,2,15,15,15,0,0,1,4,0,0,6,1.9,0.3,0.00%
200,Deontay Burnett (FA),3,4,19,6.3,10,0,0,0,0,0,0,2,1.9,1,0.00%
201,Tommylee Lewis (FA),1,3,5,5,5,0,0,2,14,0,0,5,1.9,0.4,0.00%
202,John Ross (FA),2,7,17,8.5,15,0,0,0,0,0,0,3,1.7,0.6,0.00%
203,Jaleel Scott (FA),1,1,16,16,16,0,0,0,0,0,0,1,1.6,1.6,0.00%
204,James Proche II (BAL),1,3,14,14,14,0,0,0,0,0,0,14,1.4,0.1,0.10%
205,Vyncint Smith (DEN),1,3,13,13,13,0,0,0,0,0,0,7,1.3,0.2,0.00%
206,Keith Kirkwood (FA),1,2,13,13,13,0,0,0,0,0,0,1,1.3,1.3,0.00%
207,Cody Hollister (TEN),1,1,12,12,12,0,0,0,0,0,0,2,1.2,0.6,0.00%
208,Bennie Fowler III (FA),2,6,11,5.5,7,0,0,0,0,0,0,5,1.1,0.2,0.00%
209,Marcus Kemp (FA),1,1,11,11,11,0,0,0,0,0,0,10,1.1,0.1,0.00%
210,Gehrig Dieter (FA),1,2,10,10,10,0,0,0,0,0,0,4,1,0.3,0.00%
211,Trenton Irwin (CIN),1,2,5,5,5,0,0,0,0,0,0,1,0.5,0.5,0.00%
212,JoJo Natson (FA),0,0,0,0,0,0,0,1,3,0,0,3,0.3,0.1,0.00%
213,Chris Rowland (FA),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
214,Kristian Wilkerson (NE),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
215,Dan Chisena (MIN),0,0,0,0,0,0,0,0,0,0,0,14,0,0,0.00%
216,Matt Cole (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
217,Derrick Willies (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
218,Jason Moore Jr. (LAC),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
219,Alex Bachman (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
220,Quinton Bell (ATL),0,0,0,0,0,0,0,0,0,0,0,5,0,0,0.00%
221,Juwann Winfree (GB),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
222,Keelan Doss (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
223,Stanley Morgan Jr. (CIN),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
224,K.J. Osborn (MIN),0,0,0,0,0,0,0,0,0,0,0,9,0,0,8.00%
225,Rico Gafford (FA),0,2,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
226,Isaiah Coulter (CHI),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
227,Kirk Merritt (NO),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
228,Dezmon Patmon (IND),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
229,Reggie Begelton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
230,Malik Turner (SF),0,0,0,0,0,0,0,0,0,0,0,6,0,0,0.00%
231,Hakeem Butler (FA),0,1,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
232,Tony Brown (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
233,Jordan Matthews (SF),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
234,Tavon Austin (BUF),5,5,20,4,7,0,0,0,0,0,1,4,0,0,0.00%
235,Matthew Slater (NE),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0.00%
236,Marken Michel (WAS),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
237,Taywan Taylor (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
238,Duke Williams (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
239,Chris Moore (HOU),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.10%
240,Tajae Sharpe (FA),0,3,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
241,Johnny Holton (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
242,Fred Brown (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
243,Cyril Grayson Jr. (FA),0,3,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
244,Deante Burton (FA),0,0,0,0,0,0,0,0,0,0,0,4,0,0,0.00%
245,Jeff Badet (FA),0,1,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
246,Trey Quinn (FA),0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.00%
247,Deon Cain (PHI),0,0,0,0,0,0,0,0,0,0,0,2,0,0,0.00%
248,Justin Hardee (NYJ),0,0,0,0,0,0,0,0,0,0,0,10,0,0,0.00%
249,Kevin White (FA),0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.00%
250,Ty Montgomery (NE),3,6,27,9,17,0,0,19,101,0,0,6,0,0,1.50%
251,Kendall Hinton (DEN),0,0,0,0,0,0,0,2,7,0,0,1,-0.8,-0.8,0.00%
252,Andre Roberts (CAR),4,5,34,8.5,16,0,0,1,-3,0,2,15,-0.9,-0.1,0.00%
253,DeAndre Carter (LAC),1,2,8,8,8,0,0,0,0,0,1,13,-1.2,-0.1,0.60%
254,Dede Westbrook (FA),1,1,4,4,4,0,0,0,0,0,1,2,-1.6,-0.8,0.00%
255,Dwayne Harris (FA),0,0,0,0,0,0,0,0,0,0,1,3,-2,-0.7,0.00%
256,Nsimba Webster (CHI),0,0,0,0,0,0,0,0,0,0,1,16,-2,-0.1,0.00%
