Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
1,Davante Adams (LV),115,149,"1,374",11.9,56,34,18,0,0,0,1,14,243.4,17.4,100.00%
2,Tyreek Hill (MIA),87,135,"1,276",14.7,75,38,15,13,123,2,0,15,241.9,16.1,100.00%
3,Stefon Diggs (BUF),127,166,"1,535",12.1,55,32,8,1,1,0,0,16,201.6,12.6,100.00%
4,Calvin Ridley (ATL),90,143,"1,374",15.3,63,36,9,5,1,0,1,15,191.5,12.8,0.90%
5,DK Metcalf (SEA),83,129,"1,303",15.7,62,37,10,0,0,0,1,16,188.3,11.8,97.70%
6,Justin Jefferson (MIN),88,125,"1,400",15.9,71,39,7,1,2,0,0,16,186.2,11.6,100.00%
7,Adam Thielen (MIN),74,108,925,12.5,51,18,14,3,15,0,0,15,180,12,94.50%
8,Mike Evans (TB),70,109,"1,006",14.4,50,29,13,0,0,0,0,16,178.6,11.2,99.90%
9,A.J. Brown (PHI),70,106,"1,075",15.4,73,28,11,0,0,0,1,14,177.5,12.7,99.70%
10,DeAndre Hopkins (ARI),115,160,"1,407",12.2,60,35,6,1,1,0,2,16,172.8,10.8,85.90%
11,Tyler Lockett (SEA),100,132,"1,054",10.5,47,17,10,0,0,0,0,16,165.4,10.3,87.40%
12,Allen Robinson II (LAR),102,151,"1,250",12.3,42,27,6,1,-1,0,0,16,160.9,10.1,95.90%
13,Robert Woods (TEN),90,129,936,10.4,56,19,6,24,155,2,1,16,155.1,9.7,83.50%
14,Chase Claypool (PIT),62,109,873,14.1,84,26,9,10,16,2,1,16,152.9,9.6,77.40%
15,Marvin Jones Jr. (JAC),76,115,978,12.9,43,23,9,0,0,0,0,16,151.8,9.5,26.10%
16,Brandin Cooks (HOU),81,119,"1,150",14.2,57,32,6,0,0,0,0,15,151,10.1,96.60%
17,DJ Moore (CAR),66,118,"1,193",18.1,74,39,4,2,22,0,0,15,145.5,9.7,99.20%
18,Keenan Allen (LAC),100,147,992,9.9,28,10,8,1,-1,0,2,14,145.1,10.4,99.90%
19,Amari Cooper (CLE),92,130,"1,114",12.1,69,26,5,6,14,0,0,16,144.8,9.1,93.20%
20,CeeDee Lamb (DAL),74,111,935,12.6,52,29,5,10,82,1,1,16,143.7,9,99.90%
21,Nelson Agholor (NE),48,82,896,18.7,85,30,8,0,0,0,0,16,137.6,8.6,0.90%
22,JuJu Smith-Schuster (KC),97,128,831,8.6,31,14,9,0,0,0,1,16,137.1,8.6,95.90%
23,Terry McLaurin (WAS),87,134,"1,118",12.9,68,28,4,2,30,0,1,15,136.8,9.1,99.10%
24,William Fuller V (FA),53,75,879,16.6,77,28,8,1,0,0,0,11,135.9,12.4,0.60%
25,Curtis Samuel (WAS),77,97,851,11.1,44,16,3,41,200,2,0,15,135.1,9,7.20%
26,Diontae Johnson (PIT),88,144,923,10.5,47,19,7,3,15,0,1,15,133.8,8.9,97.50%
27,Robbie Anderson (CAR),95,136,"1,096",11.5,75,25,3,4,15,0,1,16,129.1,8.1,24.30%
28,Tee Higgins (CIN),67,108,908,13.6,67,22,6,5,28,0,1,16,127.6,8,99.70%
29,Corey Davis (NYJ),65,92,984,15.1,75,24,5,0,0,0,1,14,126.4,9,4.50%
30,Chris Godwin (TB),65,84,840,12.9,47,23,7,0,0,0,0,12,126,10.5,93.50%
31,Cole Beasley (FA),82,107,967,11.8,35,17,4,0,0,0,0,15,125.5,8.4,0.20%
32,Marquise Brown (ARI),58,100,769,13.3,70,25,8,1,1,0,0,16,125,7.8,95.60%
33,Brandon Aiyuk (SF),60,96,748,12.5,49,14,5,6,77,2,0,12,124.5,10.4,88.60%
34,Cooper Kupp (LAR),92,124,974,10.6,55,20,3,4,33,0,1,15,116.7,7.8,100.00%
35,Jarvis Landry (NO),72,101,840,11.7,32,13,3,4,10,1,0,15,116,7.7,49.90%
36,Michael Gallup (DAL),59,105,843,14.3,55,21,5,0,0,0,0,16,114.3,7.1,44.30%
37,Tyler Boyd (CIN),79,110,841,10.6,72,10,4,5,49,0,0,15,113.6,7.6,63.50%
38,Jamison Crowder (BUF),59,89,699,11.8,69,17,6,1,14,0,0,12,113,9.4,4.10%
39,Tim Patrick (DEN),51,79,742,14.5,61,26,6,0,0,0,0,15,110.2,7.3,1.30%
40,Russell Gage (TB),72,109,786,10.9,35,7,4,2,9,0,0,16,109.1,6.8,54.60%
41,T.Y. Hilton (FA),56,93,762,13.6,50,18,5,0,0,0,0,15,108.2,7.2,0.10%
42,Mike Williams (LAC),48,85,756,15.8,64,21,5,1,1,0,0,15,105.7,7,98.60%
43,Jerry Jeudy (DEN),52,113,856,16.5,92,24,3,0,0,0,0,16,105.6,6.6,96.70%
44,Marquez Valdes-Scantling (KC),33,63,690,20.9,78,27,6,4,13,0,1,16,104.3,6.5,60.80%
45,Emmanuel Sanders (FA),61,82,726,11.9,51,14,5,1,12,0,0,14,103.8,7.4,0.10%
46,DeVante Parker (NE),63,103,793,12.6,31,11,4,0,0,0,0,14,103.3,7.4,44.10%
47,Gabriel Davis (BUF),35,62,599,17.1,56,20,7,1,0,0,0,16,101.9,6.4,95.50%
48,D.J. Chark Jr. (DET),53,93,706,13.3,73,15,5,0,0,0,0,13,100.6,7.7,44.80%
49,Keelan Cole Sr. (LV),55,88,642,11.7,51,12,5,1,2,0,0,16,100.4,6.3,0.10%
50,Laviska Shenault Jr. (CAR),58,79,600,10.3,36,12,5,18,91,0,0,14,99.1,7.1,0.80%
51,Christian Kirk (JAC),48,79,621,12.9,80,17,6,2,3,0,0,14,98.4,7,90.20%
52,Sterling Shepard (NYG),66,90,656,9.9,29,10,3,6,49,1,0,12,96.5,8,2.20%
53,Julio Jones (TB),51,68,771,15.1,44,22,3,0,0,0,0,9,95.1,10.6,52.70%
54,Zach Pascal (PHI),44,71,629,14.3,42,16,5,0,0,0,0,16,92.9,5.8,0.10%
55,Darnell Mooney (CHI),61,98,631,10.3,53,13,4,4,20,0,0,16,91.1,5.7,93.60%
56,Darius Slayton (NYG),50,96,751,15,41,17,3,2,-1,0,1,16,91,5.7,0.10%
57,Mecole Hardman (KC),41,62,560,13.7,49,13,4,4,31,0,2,16,87.1,5.4,32.40%
58,Rashard Higgins (CAR),37,52,599,16.2,43,18,4,0,0,0,0,13,83.9,6.5,0.10%
59,David Moore (CHI),35,47,417,11.9,57,14,6,8,61,0,0,16,83.8,5.2,0.00%
60,Jakobi Meyers (NE),59,81,729,12.4,35,14,0,2,9,0,1,14,83.6,6,53.30%
61,Kendrick Bourne (NE),49,74,667,13.6,49,9,2,0,0,0,0,15,80.7,5.4,3.60%
62,Greg Ward (FA),53,79,419,7.9,32,4,6,2,-4,0,0,16,80.1,5,0.00%
63,Travis Fulgham (GB),38,67,539,14.2,42,11,4,0,0,0,0,13,77.9,6,0.00%
64,Hunter Renfrow (LV),56,77,656,11.7,53,13,2,0,0,0,1,16,75.6,4.7,93.00%
65,Josh Reynolds (DET),52,81,618,11.9,40,10,2,1,5,0,1,16,72.3,4.5,0.20%
66,Antonio Brown (FA),45,62,483,10.7,46,9,4,2,-2,0,0,8,72.1,9,0.30%
67,Isaiah McKenzie (BUF),30,34,282,9.4,46,5,5,10,9,0,0,16,69.6,4.4,33.90%
68,Scotty Miller (TB),33,53,501,15.2,48,16,3,3,14,0,0,16,69.5,4.3,0.10%
69,James Washington (DAL),30,56,392,13.1,50,9,5,0,0,0,0,16,69.2,4.3,0.70%
70,Breshad Perriman (TB),30,60,505,16.8,53,19,3,1,6,0,0,12,69.1,5.8,0.10%
71,Jalen Guyton (LAC),28,55,511,18.3,72,18,3,2,0,0,0,16,69.1,4.3,0.20%
72,Tre'Quan Smith (NO),34,50,448,13.2,31,10,4,1,3,0,0,14,69.1,4.9,0.10%
73,Damiere Byrd (ATL),47,77,604,12.9,42,15,1,2,15,0,0,16,67.9,4.2,0.00%
74,Allen Lazard (GB),33,46,451,13.7,72,13,3,2,17,0,0,10,64.8,6.5,87.40%
75,A.J. Green (ARI),47,104,523,11.1,33,5,2,0,0,0,0,16,64.3,4,14.20%
76,Odell Beckham Jr. (FA),23,43,319,13.9,43,6,3,3,72,1,0,7,63.8,9.1,10.40%
77,John Brown (FA),33,52,458,13.9,46,12,3,0,0,0,0,9,63.8,7.1,2.00%
78,Demarcus Robinson (BAL),45,59,466,10.4,28,7,3,0,0,0,1,15,62.6,4.2,0.30%
79,Randall Cobb (GB),38,48,441,11.6,34,7,3,0,0,0,0,10,62.1,6.2,5.50%
80,Willie Snead IV (FA),33,48,432,13.1,34,10,3,0,0,0,0,13,61.2,4.7,0.00%
81,Danny Amendola (FA),46,69,602,13.1,50,13,0,1,2,0,0,14,60.4,4.3,0.00%
82,Braxton Berrios (NYJ),37,55,394,10.6,43,10,3,3,29,0,0,16,60.3,3.8,2.40%
83,K.J. Hamler (DEN),30,56,381,12.7,49,9,3,9,40,0,0,13,60.1,4.6,5.30%
84,Anthony Miller (PIT),49,76,485,9.9,34,5,2,2,12,0,1,16,59.7,3.7,0.00%
85,Tyron Johnson (LV),20,26,398,19.9,55,19,3,3,17,0,0,12,59.5,5,0.10%
86,Michael Pittman Jr. (IND),40,61,503,12.6,45,10,1,3,26,0,0,13,58.9,4.5,99.70%
87,Henry Ruggs III (FA),26,43,452,17.4,72,18,2,9,49,0,2,13,58.1,4.5,10.90%
88,Chris Conley (HOU),40,63,471,11.8,51,9,2,0,0,0,1,15,57.1,3.8,0.30%
89,Preston Williams (CAR),18,35,288,16,47,10,4,0,0,0,0,8,56.8,7.1,0.00%
90,Jalen Reagor (MIN),31,54,396,12.8,55,9,1,4,26,0,0,11,56.2,5.1,0.80%
91,Cam Sims (WAS),32,48,477,14.9,50,18,1,1,5,0,0,16,54.2,3.4,0.00%
92,Keke Coutee (IND),33,40,400,12.1,64,8,3,0,0,0,3,8,54,6.8,0.00%
93,Golden Tate (FA),35,52,388,11.1,39,8,2,0,0,0,0,12,51.5,4.3,0.00%
94,Sammy Watkins (GB),37,55,421,11.4,37,5,2,1,3,0,1,10,51.4,5.1,15.60%
95,Jakeem Grant Sr. (CLE),36,54,373,10.4,30,4,1,3,20,0,0,14,51.3,3.7,0.00%
96,Miles Boykin (PIT),19,33,266,14,43,6,4,0,0,0,0,16,50.6,3.2,0.10%
97,Deebo Samuel (SF),33,44,391,11.8,35,10,1,8,26,0,0,7,47.7,6.8,100.00%
98,Larry Fitzgerald (FA),54,72,409,7.6,18,0,1,0,0,0,0,13,46.9,3.6,0.00%
99,Quintez Cephus (DET),20,35,349,17.5,49,12,2,0,0,0,0,13,46.9,3.6,0.10%
100,Kenny Golladay (NYG),20,32,338,16.9,48,7,2,0,0,0,0,5,45.8,9.2,28.60%
101,Donovan Peoples-Jones (CLE),14,20,304,21.7,75,9,2,0,0,0,0,12,44.4,3.7,2.90%
102,Michael Thomas (NO),40,55,438,11,24,5,0,1,1,0,0,7,43.9,6.3,94.30%
103,Marvin Hall (FA),18,32,302,16.8,73,10,2,1,1,0,0,12,42.3,3.5,0.00%
104,Richie James Jr. (NYG),23,35,394,17.1,47,15,1,0,0,0,2,11,41.4,3.8,0.00%
105,Collin Johnson (NYG),18,31,272,15.1,46,8,2,0,0,0,0,14,41.2,2.9,0.00%
106,N'Keal Harry (CHI),33,57,309,9.4,30,3,2,2,0,0,1,14,40.9,2.9,0.20%
