Rank,Player,REC,TGT,YDS,Y/R,LG,20+,TD,ATT,YDS,TD,FL,G,FPTS,FPTS/G,ROST
58,Cole Beasley (FA),82,112,693,8.5,29,5,1,0,0,0,0,16,77.3,4.8,0.20%
59,Deonte Harty (NO),36,59,570,15.8,72,16,3,5,41,0,1,13,77.1,5.9,0.20%
60,Donovan Peoples-Jones (CLE),34,58,597,17.6,60,22,3,0,0,0,1,14,75.7,5.4,2.90%
61,Bryan Edwards (ATL),34,59,571,16.8,51,19,3,1,0,0,0,16,75.1,4.7,0.90%
62,Braxton Berrios (NYJ),46,65,431,9.4,46,7,2,7,40,2,1,16,75.1,4.7,2.40%
63,Quez Watkins (PHI),43,62,647,15,91,22,1,1,3,0,0,17,73,4.3,0.40%
64,Corey Davis (NYJ),34,59,492,14.5,53,14,4,0,0,0,1,9,71.2,7.9,4.50%
65,Nick Westbrook-Ikhine (TEN),38,57,476,12.5,46,8,4,0,0,0,1,15,69.6,4.6,1.70%
66,Nelson Agholor (NE),37,64,473,12.8,44,12,3,3,11,0,0,15,66.4,4.4,0.90%
67,Jalen Guyton (LAC),31,48,448,14.5,59,10,3,7,34,0,0,16,66.2,4.1,0.20%
68,Randall Cobb (GB),28,39,375,13.4,54,11,5,1,1,0,1,11,65.6,6,5.50%
69,Laviska Shenault Jr. (CAR),63,100,619,9.8,58,11,0,11,41,0,1,16,64,4,0.80%
70,DeVante Parker (NE),40,73,515,12.9,42,11,2,0,0,0,0,10,63.5,6.4,44.10%
71,DeAndre Carter (LAC),24,44,296,12.3,26,5,3,10,89,0,0,17,62.5,3.7,0.60%
72,Freddie Swain (MIA),25,40,343,13.7,68,13,4,5,32,0,0,17,61.5,3.6,0.00%
73,Marquez Valdes-Scantling (KC),26,55,430,16.5,75,17,3,0,0,0,0,11,61,5.5,60.80%
74,Henry Ruggs III (FA),24,36,469,19.5,61,21,2,3,16,0,0,7,60.5,8.6,10.90%
75,Joshua Palmer (LAC),33,49,353,10.7,36,4,4,1,6,0,0,15,59.9,4,28.30%
76,Zay Jones (JAC),47,70,546,11.6,43,14,1,2,3,0,1,15,58.9,3.9,6.60%
77,Olamide Zaccheaus (ATL),31,53,406,13.1,49,9,3,1,2,0,0,15,58.8,3.9,0.20%
78,Jamison Crowder (BUF),51,71,447,8.8,29,3,2,0,0,0,1,12,58.7,4.9,4.10%
79,Jauan Jennings (SF),24,38,282,11.8,34,5,5,0,0,0,0,13,58.2,4.5,0.50%
80,Rashod Bateman (BAL),46,68,515,11.2,36,12,1,0,0,0,0,12,57.5,4.8,92.50%
81,Michael Gallup (DAL),35,62,445,12.7,41,11,2,0,0,0,0,9,56.5,6.3,44.30%
82,Zach Pascal (PHI),38,69,384,10.1,41,9,3,2,21,0,1,16,56.5,3.5,0.10%
83,DeSean Jackson (FA),20,34,454,22.7,75,19,2,1,4,0,1,14,55.8,4,5.00%
84,Tre'Quan Smith (NO),32,50,377,11.8,34,7,3,0,0,0,0,10,55.7,5.6,0.10%
85,Rondale Moore (ARI),54,64,435,8.1,77,7,1,18,76,0,1,14,55.1,3.9,28.50%
86,Kenny Golladay (NYG),37,76,521,14.1,36,6,0,0,0,0,0,14,52.1,3.7,28.60%
87,Jamal Agnew (JAC),24,39,229,9.5,29,4,1,7,111,1,0,12,52,4.3,0.10%
88,Josh Reynolds (DET),29,49,396,13.7,39,7,2,0,0,0,0,11,51.6,4.7,0.20%
89,T.Y. Hilton (FA),23,37,331,14.4,52,11,3,0,0,0,0,10,51.1,5.1,0.10%
90,Keelan Cole Sr. (LV),28,51,449,16,54,12,1,0,0,0,0,14,50.9,3.6,0.10%
91,Nico Collins (HOU),33,60,446,13.5,32,11,1,0,0,0,0,14,50.6,3.6,26.30%
92,Laquon Treadwell (NE),33,51,434,13.2,41,10,1,0,0,0,0,12,49.4,4.1,0.00%
93,Julio Jones (TB),31,48,434,14,51,9,1,0,0,0,0,10,49.4,4.9,52.70%
94,Allen Robinson II (LAR),38,66,410,10.8,39,6,1,0,0,0,0,12,49,4.1,95.90%
95,Jerry Jeudy (DEN),38,56,467,12.3,40,10,0,2,3,0,0,10,47,4.7,96.70%
96,Mack Hollins (LV),14,28,223,15.9,65,9,4,0,0,0,0,16,46.3,2.9,0.20%
97,Jalen Reagor (MIN),33,57,299,9.1,34,5,2,10,32,0,0,17,45.1,2.7,0.80%
98,Danny Amendola (FA),24,38,248,10.3,39,6,3,0,0,0,0,8,44.8,5.6,0.00%
99,Demarcus Robinson (BAL),25,41,264,10.6,33,4,3,0,0,0,0,15,44.4,3,0.30%
100,Devin Duvernay (BAL),33,47,272,8.2,21,1,2,7,50,0,0,16,44.2,2.8,16.70%
101,Sammy Watkins (GB),27,49,394,14.6,49,9,1,0,0,0,1,11,43.4,3.9,15.60%
102,Kadarius Toney (NYG),39,57,420,10.8,38,7,0,3,6,0,0,9,43.4,4.8,75.80%
103,Chris Conley (HOU),22,37,323,14.7,41,10,2,1,3,0,1,14,42.6,3,0.30%
104,Darius Slayton (NYG),26,58,339,13,42,7,2,1,-13,0,1,13,42.6,3.3,0.10%
105,James Washington (DAL),24,44,285,11.9,42,8,2,2,13,0,0,15,41.8,2.8,0.70%
106,Sterling Shepard (NYG),36,53,366,10.2,37,5,1,1,-9,0,0,7,41.7,6,2.20%
107,Calvin Ridley (ATL),31,52,281,9.1,22,3,2,0,0,0,0,5,40.1,8,0.90%
108,Damiere Byrd (ATL),26,38,329,12.7,54,6,1,0,0,0,1,11,38.9,3.5,0.00%
109,Antoine Wesley (ARI),19,32,208,10.9,33,5,3,0,0,0,0,8,38.8,4.9,0.00%
110,Adam Humphries (FA),41,62,383,9.3,27,4,0,0,0,0,0,17,38.3,2.3,1.00%
111,Marquise Goodwin (SEA),20,40,313,15.7,50,10,1,2,-1,0,0,14,37.2,2.7,0.10%
112,Lil'Jordan Humphrey (NE),13,18,249,19.2,56,9,2,0,0,0,0,8,36.9,4.6,0.10%
113,Tyler Johnson (HOU),36,55,360,10,31,6,0,0,0,0,0,16,36,2.3,0.10%
114,Chester Rogers (CLE),30,43,301,10,39,4,1,1,9,0,1,16,35,2.2,0.00%
115,Chris Moore (HOU),21,22,227,10.8,67,7,2,0,0,0,0,10,34.7,3.5,0.10%
116,Cyril Grayson Jr. (FA),10,12,212,21.2,62,11,2,1,14,0,0,3,34.6,11.5,0.00%
117,Quintez Cephus (DET),15,22,204,13.6,46,8,2,0,0,0,0,5,34.4,6.9,0.10%
118,Cam Sims (WAS),15,23,211,14.1,43,4,2,1,7,0,0,12,33.8,2.8,0.00%
119,Rashard Higgins (CAR),24,47,275,11.5,21,1,1,0,0,0,0,12,33.5,2.8,0.10%
120,Malik Turner (SF),12,16,149,12.4,61,4,3,0,0,0,0,7,32.9,4.7,0.00%
121,Ashton Dulin (IND),13,22,173,13.3,62,5,2,3,32,0,0,16,32.5,2,0.10%
122,Isaiah McKenzie (BUF),20,26,178,8.9,28,1,1,9,47,1,1,15,32.5,2.2,33.90%
123,Brandon Zylstra (FA),18,25,250,13.9,55,7,1,0,0,0,0,12,31,2.6,0.00%
124,John Ross (FA),11,20,224,20.4,51,5,1,1,16,0,0,9,30,3.3,0.00%
125,Jakeem Grant Sr. (CLE),11,17,132,12,46,5,2,5,33,0,3,15,28.5,1.9,0.00%
126,Isaiah Ford (FA),12,16,161,13.4,52,5,2,0,0,0,0,9,28.1,3.1,0.00%
127,Greg Ward (FA),7,11,95,13.6,27,1,3,0,0,0,0,10,27.6,2.8,0.00%
128,D.J. Chark Jr. (DET),7,22,154,22,41,5,2,0,0,0,0,3,27.4,9.1,44.80%
129,Tavon Austin (BUF),24,38,213,8.9,25,2,1,3,21,0,1,12,27.4,2.3,0.00%
130,Ray-Ray McCloud (SF),39,66,277,7.1,24,2,0,2,15,0,1,16,27.2,1.7,0.10%
131,Ihmir Smith-Marsette (CHI),5,6,116,23.2,44,6,2,0,0,0,0,6,23.6,3.9,0.10%
132,Kendall Hinton (DEN),15,23,175,11.7,40,4,1,0,0,0,0,11,23.5,2.1,0.00%
133,Anthony Schwartz (CLE),10,23,135,13.5,44,3,1,6,39,0,0,13,23.4,1.8,0.20%
134,Albert Wilson (FA),25,39,213,8.5,64,4,0,4,17,0,0,10,23,2.3,0.00%
135,Tajae Sharpe (FA),25,37,230,9.2,17,0,0,0,0,0,0,14,23,1.6,0.00%
136,Breshad Perriman (TB),11,18,167,15.2,58,7,1,1,-3,0,0,5,22.4,4.5,0.10%
137,Parris Campbell (IND),10,20,162,16.2,51,6,1,0,0,0,0,6,22.2,3.7,3.80%
138,James Proche II (BAL),16,20,202,12.6,32,3,0,0,0,0,0,7,20.2,2.9,0.10%
139,JuJu Smith-Schuster (KC),15,28,129,8.6,24,1,0,3,9,1,0,5,19.8,4,95.90%
140,Noah Brown (DAL),16,25,184,11.5,27,3,0,0,0,0,0,10,18.4,1.8,0.90%
141,Dee Eskridge (SEA),10,20,64,6.4,17,0,1,4,59,0,0,8,18.3,2.3,0.60%
142,KhaDarel Hodge (ATL),13,27,157,12.1,42,4,0,0,0,0,0,12,17.7,1.5,0.00%
143,Mohamed Sanu Sr. (FA),15,24,177,11.8,21,1,0,0,0,0,0,8,17.7,2.2,0.00%
144,N'Keal Harry (CHI),12,22,184,15.3,43,5,0,0,0,0,1,10,16.4,1.6,0.20%
145,Kristian Wilkerson (NE),4,8,42,10.5,20,1,2,0,0,0,0,1,16.2,16.2,0.00%
146,Dyami Brown (WAS),12,25,165,13.8,48,5,0,1,-4,0,0,10,16.1,1.6,0.10%
147,Terrace Marshall Jr. (CAR),17,30,138,8.1,23,1,0,0,0,0,0,12,15.8,1.3,0.70%
148,Marcus Johnson (NYG),9,19,160,17.8,50,6,0,2,-2,0,0,7,15.8,2.3,0.00%
149,Dante Pettis (CHI),10,16,87,8.7,27,1,1,0,0,0,0,3,15.3,5.1,0.00%
150,Trent Sherfield (MIA),9,20,87,9.7,18,0,1,0,0,0,0,12,14.7,1.2,0.00%
151,Scotty Miller (TB),5,9,38,7.6,13,0,0,2,43,1,0,6,14.1,2.4,0.10%
152,Denzel Mims (NYJ),8,23,133,16.6,40,5,0,0,0,0,0,10,13.3,1.3,0.10%
153,Ben Skowronek (LAR),11,20,133,12.1,35,3,0,0,0,0,0,12,13.3,1.1,0.10%
154,Kenny Stills (FA),6,23,68,11.3,22,1,1,1,1,0,0,7,12.9,1.8,0.00%
155,Tom Kennedy (DET),6,10,54,9,15,0,0,0,0,0,0,7,12.4,1.8,0.00%
156,Jeff Smith (NYJ),8,17,113,14.1,35,2,0,1,-1,0,0,9,11.2,1.2,0.00%
157,Equanimeous St. Brown (CHI),9,17,98,10.9,26,1,0,3,14,0,0,12,11.2,0.9,0.20%
158,Phillip Dorsett II (HOU),7,14,110,15.7,36,4,0,1,0,0,0,5,11,2.2,0.30%
159,Dez Fitzpatrick (TEN),5,8,49,9.8,18,0,1,0,0,0,0,3,10.9,3.6,0.00%
160,Collin Johnson (NYG),11,21,105,9.5,16,0,0,0,0,0,0,8,10.5,1.3,0.00%
161,Trinity Benson (FA),10,22,103,10.3,24,2,0,0,0,0,0,7,10.3,1.5,0.00%
162,Chris Hogan (FA),4,8,41,10.3,16,0,1,0,0,0,0,5,10.1,2,0.00%
163,Shi Smith (CAR),6,11,104,17.3,63,4,0,1,-3,0,0,5,10.1,2,0.10%
164,Auden Tate (PHI),3,4,39,13,18,0,1,0,0,0,0,4,9.9,2.5,0.00%
165,Josh Gordon (TEN),5,14,32,6.4,11,0,1,0,0,0,0,9,9.2,1,0.20%
166,Cameron Batson (ATL),2,5,15,7.5,13,0,1,2,15,0,0,4,9,2.3,0.00%
167,Anthony Miller (PIT),6,12,25,4.2,10,0,1,0,0,0,0,3,8.5,2.8,0.00%
