"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"122","Patrick Ricard (BAL)","1","-1","-1.0","0","0","0","9","12","45","5.0","1","1","15","8.4","0.6","0.1%"
"123","Justice Hill (BAL)","12","60","5.0","19","0","0","5","5","20","4.0","0","0","12","8.0","0.7","0.1%"
"124","C.J. Prosise (FA)","10","19","1.9","7","0","0","5","5","18","3.6","1","1","10","7.7","0.8","0.0%"
"125","Reggie Gilliam (BUF)","0","0","0","0","0","0","2","2","16","8.0","1","0","14","7.6","0.5","0.0%"
"126","Jaylen Samuels (FA)","9","28","3.1","6","0","0","9","14","46","5.1","0","0","14","7.4","0.5","0.0%"
"127","Anthony Sherman (FA)","3","8","2.7","6","0","0","1","2","5","5.0","1","0","12","7.3","0.6","0.0%"
"128","Jonathan Ward (ARI)","0","0","0","0","0","0","1","1","11","11.0","1","0","14","7.1","0.5","0.0%"
"129","Buddy Howell (FA)","16","64","4.0","9","0","0","1","2","3","3.0","0","0","14","6.7","0.5","0.0%"
"130","Keith Smith (ATL)","4","7","1.8","3","0","0","11","15","59","5.4","0","0","16","6.6","0.4","0.0%"
"131","Theo Riddick (FA)","6","14","2.3","11","0","0","5","6","43","8.6","0","0","5","5.7","1.1","0.0%"
"132","Marlon Mack (FA)","4","26","6.5","18","0","0","3","3","30","10.0","0","0","1","5.6","5.6","6.5%"
"133","Dontrell Hilliard (TEN)","9","48","5.3","19","0","0","1","1","2","2.0","0","0","7","5.0","0.7","5.0%"
"134","Trenton Cannon (TEN)","10","33","3.3","13","0","0","3","3","16","5.3","0","0","14","4.9","0.4","0.0%"
"135","Michael Burton (KC)","7","18","2.6","7","0","0","4","4","28","7.0","0","0","15","4.6","0.3","0.0%"
"136","Devine Ozigbo (DEN)","1","1","1.0","1","0","0","9","9","42","4.7","0","0","8","4.3","0.5","0.0%"
"137","Khari Blasingame (CHI)","0","0","0","0","0","0","4","5","39","9.8","0","0","15","3.9","0.3","0.0%"
"138","Elijhaa Penny (FA)","6","15","2.5","5","0","0","2","3","20","10.0","0","0","14","3.5","0.3","0.0%"
"139","Rashaad Penny (SEA)","11","34","3.1","7","0","0","0","0","0","0","0","0","3","3.4","1.1","89.8%"
"140","Bo Scarbrough (FA)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"141","Austin Walter (LV)","1","3","3.0","3","0","0","1","1","27","27.0","0","0","4","3.0","0.8","0.0%"
"142","Alex Armah Jr. (FA)","6","9","1.5","3","0","0","5","9","18","3.6","0","0","16","2.7","0.2","0.0%"
"143","Rico Dowdle (DAL)","7","24","3.4","7","0","0","0","0","0","0","0","0","15","2.4","0.2","0.2%"
"144","Jason Huntley (PIT)","5","19","3.8","10","0","0","1","2","0","0.0","0","0","5","1.9","0.4","0.0%"
"145","Andy Janovich (FA)","2","4","2.0","2","0","0","2","5","13","6.5","0","0","14","1.7","0.1","0.0%"
"146","Scottie Phillips (FA)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","8","1.6","0.2","0.0%"
"147","LeVante Bellamy (FA)","4","11","2.8","8","0","0","1","1","5","5.0","0","0","5","1.6","0.3","0.0%"
"148","Dwayne Washington (NO)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.2%"
"149","Tony Jones Jr. (NO)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.1%"
"150","Senorise Perry (FA)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"151","D.J. Foster (FA)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","10","0.9","0.1","0.0%"
"152","Chandler Cox (FA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","0.9","0.1","0.0%"
"153","Dexter Williams (FA)","2","8","4.0","5","0","0","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"154","Craig Reynolds (DET)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","0.7","0.4","0.2%"
"155","Cullen Gillaspia (FA)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","0.6","0.1","0.0%"
"156","Lamar Miller (FA)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","0.6","0.6","0.0%"
"157","Jonathan Williams (WAS)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","0.6","0.1","0.1%"
"158","Tony Brooks-James (FA)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"159","Qadree Ollison (DAL)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.1%"
"160","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"161","Jeremy Cox (FA)","0","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"162","John Lovett (MIA)","3","6","2.0","4","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"163","Trevon Wesco (CHI)","1","0","0.0","0","0","0","1","2","5","5.0","0","0","12","0.0","0.0","0.0%"
"164","Johnny Stanton IV (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"165","Elijah Holyfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"166","Nathan Cottrell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"167","Jake Bargas (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"168","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"169","Javon Leake (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"170","Darius Bradwell (FA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"171","Xavier Jones (FA)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"172","Michael Warren II (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"173","Raymond Calais (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"174","Bruce Miller (FA)","0","0","0","0","0","0","1","2","2","2.0","0","0","8","0.0","0.0","0.0%"
"175","Taiwan Jones (BUF)","0","0","0","0","0","0","0","2","0","0","0","0","13","0.0","0.0","0.0%"
"176","Nick Bellore (SEA)","1","5","5.0","5","0","0","1","1","9","9.0","0","0","16","0.0","0.0","0.2%"
"177","Cordarrelle Patterson (ATL)","64","232","3.6","13","0","1","21","25","132","6.3","0","0","16","0.0","0.0","90.5%"
"178","J.P. Holtz (NO)","0","0","0","0","0","0","0","1","0","0","0","0","16","0.0","0.0","0.0%"
"179","Brandin Bryant (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Derek Watt (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","12","0.0","0.0","0.1%"
"181","Wendell Smallwood (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"182","Jason Cabinda (DET)","1","0","0.0","0","0","0","2","3","8","4.0","0","0","16","0.0","0.0","0.0%"
"183","Trey Edmunds (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"184","Kenjon Barner (TB)","0","0","0","0","0","0","0","1","0","0","0","0","6","0.0","0.0","0.0%"
"185","Adrian Killins Jr. (FA)","1","-12","-12.0","0","0","0","1","1","2","2.0","0","0","1","-1.0","-1.0","0.0%"
""
""
