"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","ROST"
"50","D'Onta Foreman (CAR)","133","566","4.3","35","6","3","9","11","123","13.7","0","1","9","84.9","9.4","8.2%"
"51","Brandon Bolden (LV)","44","226","5.1","24","2","1","41","49","405","9.9","2","0","16","83.1","5.2","0.2%"
"52","Ty Johnson (NYJ)","61","238","3.9","24","2","2","34","55","372","10.9","2","1","15","83.0","5.5","0.1%"
"53","Zack Moss (BUF)","96","345","3.6","17","0","4","23","32","197","8.6","1","1","13","82.2","6.3","3.5%"
"54","Mark Ingram II (NO)","160","554","3.5","28","2","2","27","35","162","6.0","0","1","14","81.6","5.8","23.2%"
"55","Rex Burkhead (HOU)","122","427","3.5","36","3","3","25","32","186","7.4","0","0","15","79.3","5.3","14.0%"
"56","Nyheim Hines (IND)","56","276","4.9","34","3","2","40","57","310","7.8","1","2","17","72.6","4.3","70.5%"
"57","Kenyan Drake (BAL)","63","254","4.0","21","1","2","30","40","291","9.7","1","0","12","72.5","6.0","6.3%"
"58","Ronald Jones II (KC)","101","428","4.2","30","2","4","10","13","64","6.4","0","2","15","69.2","4.6","8.0%"
"59","Khalil Herbert (CHI)","103","433","4.2","29","4","2","14","16","96","6.9","0","0","16","64.9","4.1","34.1%"
"60","Justin Jackson (DET)","68","364","5.4","75","5","2","22","25","178","8.1","0","1","14","64.2","4.6","0.2%"
"61","Jordan Howard (FA)","86","406","4.7","25","1","3","2","5","19","9.5","0","0","7","60.5","8.6","0.0%"
"62","Alex Collins (FA)","108","411","3.8","25","2","2","9","10","87","9.7","0","1","11","59.8","5.4","19.0%"
"63","Samaje Perine (CIN)","55","246","4.5","46","4","1","27","31","196","7.3","1","0","15","56.2","3.7","5.7%"
"64","Duke Johnson Jr. (BUF)","71","330","4.6","27","1","3","4","5","41","10.3","0","0","5","55.1","11.0","0.1%"
"65","Dontrell Hilliard (TEN)","56","350","6.3","68","6","2","19","26","87","4.6","0","1","8","53.7","6.7","5.0%"
"66","Ameer Abdullah (LV)","51","166","3.3","15","0","0","38","53","289","7.6","1","0","17","51.5","3.0","4.7%"
"67","David Johnson (FA)","67","228","3.4","15","0","0","32","42","225","7.0","1","1","13","49.3","3.8","0.0%"
"68","Derrick Gore (FA)","51","256","5.0","51","5","2","8","9","105","13.1","0","0","8","48.1","6.0","0.0%"
"69","Jaret Patterson (WAS)","68","266","3.9","13","0","2","10","12","73","7.3","0","0","14","45.9","3.3","0.1%"
"70","Travis Homer (SEA)","21","177","8.4","73","5","1","16","20","161","10.1","0","0","14","45.8","3.3","0.6%"
"71","Jeremy McNichols (PIT)","41","156","3.8","14","0","0","28","38","240","8.6","1","0","13","45.6","3.5","0.0%"
"72","Damien Williams (ATL)","40","164","4.1","23","1","2","16","23","103","6.4","1","0","12","44.7","3.7","4.1%"
"73","Jeff Wilson Jr. (SF)","79","294","3.7","17","0","2","7","8","31","4.4","0","0","9","44.5","4.9","8.1%"
"74","Kyle Juszczyk (SF)","8","22","2.8","6","0","1","30","38","296","9.9","1","0","15","43.8","2.9","0.4%"
"75","Chris Carson (FA)","54","232","4.3","33","4","3","6","6","29","4.8","0","1","4","42.1","10.5","0.8%"
"76","Phillip Lindsay (IND)","88","249","2.8","35","2","1","4","5","45","11.3","1","0","14","41.4","3.0","0.2%"
"77","Tevin Coleman (FA)","84","356","4.2","20","1","0","11","16","49","4.5","0","0","11","40.5","3.7","0.1%"
"78","Peyton Barber (FA)","55","212","3.9","27","1","2","10","13","67","6.7","0","0","10","39.9","4.0","1.0%"
"79","DeeJay Dallas (SEA)","33","138","4.2","15","0","2","21","23","133","6.3","0","0","17","39.1","2.3","0.7%"
"80","Dare Ogunbowale (HOU)","43","137","3.2","12","0","1","13","21","114","8.8","1","0","13","37.1","2.9","0.4%"
"81","Giovani Bernard (TB)","8","58","7.3","24","1","0","23","29","123","5.3","3","0","10","36.1","3.6","0.4%"
"82","Matt Breida (NYG)","26","125","4.8","28","1","1","7","9","72","10.3","2","1","7","35.7","5.1","1.5%"
"83","Chris Evans (CIN)","17","77","4.5","13","0","0","15","17","151","10.1","2","0","9","34.8","3.9","1.1%"
"84","Carlos Hyde (FA)","72","253","3.5","18","0","1","12","22","65","5.4","0","2","12","33.8","2.8","0.0%"
"85","Le'Veon Bell (FA)","39","101","2.6","12","0","2","5","7","30","6.0","1","0","8","33.1","4.1","0.1%"
"86","Ty'Son Williams (FA)","35","185","5.3","35","3","1","9","12","84","9.3","0","0","8","32.9","4.1","0.0%"
"87","Ke'Shawn Vaughn (TB)","36","180","5.0","55","4","2","4","8","26","6.5","0","0","6","32.6","5.4","1.0%"
"88","Demetric Felton Jr. (CLE)","7","24","3.4","12","0","0","18","21","181","10.1","2","0","15","32.5","2.2","0.1%"
"89","Craig Reynolds (DET)","55","230","4.2","35","3","0","7","8","52","7.4","0","0","5","28.2","5.6","0.2%"
"90","Elijhaa Penny (FA)","24","99","4.1","12","0","1","9","13","30","3.3","1","0","13","26.9","2.1","0.0%"
"91","Salvon Ahmed (MIA)","54","149","2.8","16","0","0","12","19","117","9.8","0","0","11","26.6","2.4","0.1%"
"92","JaMycal Hasty (JAC)","16","68","4.3","21","1","1","23","29","157","6.8","0","1","11","26.5","2.4","0.0%"
"93","Trey Sermon (PHI)","41","167","4.1","16","0","1","3","4","26","8.7","0","0","6","25.3","4.2","1.4%"
"94","Royce Freeman (HOU)","56","169","3.0","13","0","0","10","16","77","7.7","0","0","12","24.6","2.1","0.1%"
"95","Corey Clement (FA)","33","140","4.2","38","2","0","6","7","29","4.8","1","0","11","22.9","2.1","0.0%"
"96","Jerick McKinnon (KC)","12","62","5.2","18","0","0","13","20","107","8.2","1","0","9","22.9","2.5","10.1%"
"97","Adrian Peterson (FA)","38","98","2.6","16","0","2","4","4","8","2.0","0","0","4","22.6","5.7","2.1%"
"98","Eno Benjamin (ARI)","34","118","3.5","21","1","1","6","7","42","7.0","0","0","8","22.0","2.8","5.1%"
"99","Jermar Jefferson (DET)","15","74","4.9","28","1","2","4","5","23","5.8","0","0","5","21.7","4.3","0.1%"
"100","Malcolm Brown (FA)","33","125","3.8","24","1","1","3","5","10","3.3","0","0","6","19.5","3.3","0.0%"
"101","James White (FA)","10","38","3.8","10","0","1","12","14","94","7.8","0","0","3","19.2","6.4","0.7%"
"102","Kene Nwangwu (MIN)","13","61","4.7","19","0","0","4","5","9","2.3","0","0","9","19.0","2.1","0.7%"
"103","Tony Jones Jr. (NO)","54","142","2.6","11","0","0","5","8","29","5.8","0","0","10","17.1","1.7","0.1%"
"104","Austin Walter (LV)","26","101","3.9","14","0","1","2","3","9","4.5","0","0","4","17.0","4.3","0.0%"
"105","Jonathan Williams (WAS)","17","79","4.6","23","1","1","4","6","28","7.0","0","0","5","16.7","3.3","0.1%"
"106","C.J. Ham (MIN)","7","34","4.9","30","2","0","17","18","125","7.4","0","0","15","15.9","1.1","0.1%"
"107","Qadree Ollison (DAL)","21","105","5.0","19","0","1","4","6","12","3.0","0","1","6","15.7","2.6","0.1%"
"108","Patrick Taylor Jr. (GB)","23","89","3.9","12","0","1","2","2","3","1.5","0","0","5","15.2","3.0","0.0%"
"109","Larry Rountree III (LAC)","36","87","2.4","13","0","1","1","2","-1","-1.0","0","0","10","14.6","1.5","0.1%"
"110","Alec Ingold (MIA)","2","1","0.5","1","0","0","10","12","85","8.5","1","0","7","14.6","2.1","0.0%"
"111","J.J. Taylor (NE)","19","37","1.9","15","0","2","4","4","8","2.0","0","1","5","14.5","2.9","0.2%"
"112","Godwin Igwebuike (FA)","18","118","6.6","42","3","1","7","10","60","8.6","0","2","15","14.0","0.9","0.0%"
"113","Ty Montgomery (NE)","15","44","2.9","9","0","0","16","26","95","5.9","0","0","14","13.9","1.0","1.3%"
"114","Patrick Ricard (BAL)","2","4","2.0","2","0","0","8","13","63","7.9","1","0","8","12.7","1.6","0.1%"
"115","Wayne Gallman Jr. (FA)","28","104","3.7","17","0","0","1","3","21","21.0","0","0","9","12.5","1.4","0.0%"
"116","Joshua Kelley (LAC)","33","102","3.1","14","0","0","5","6","38","7.6","0","1","8","12.0","1.5","1.1%"
"117","Michael Burton (KC)","8","26","3.3","7","0","1","3","3","31","10.3","0","0","10","11.7","1.2","0.0%"
"118","Jalen Richard (FA)","9","40","4.4","23","1","0","12","14","72","6.0","0","0","9","11.2","1.2","1.0%"
"119","Benny Snell Jr. (PIT)","36","98","2.7","9","0","0","2","4","13","6.5","0","0","16","11.1","0.7","0.9%"
"120","Marlon Mack (FA)","28","101","3.6","22","1","0","2","5","8","4.0","0","0","6","10.9","1.8","6.5%"
"121","Ryquell Armstead (FA)","15","80","5.3","26","1","0","3","4","16","5.3","0","0","2","9.6","4.8","0.0%"
"122","Deon Jackson (IND)","13","31","2.4","10","0","1","0","0","0","0","0","0","5","9.1","1.8","0.2%"
"123","JaQuan Hardy (FA)","4","29","7.3","22","1","1","0","0","0","0","0","0","2","8.9","4.5","0.0%"
"124","Andy Janovich (FA)","2","0","0.0","1","0","1","3","4","9","3.0","0","0","6","8.9","1.5","0.0%"
"125","Keith Smith (ATL)","9","31","3.4","8","0","0","9","10","56","6.2","0","0","13","8.7","0.7","0.0%"
"126","Alex Armah Jr. (FA)","5","21","4.2","9","0","0","1","1","1","1.0","1","0","10","8.2","0.8","0.0%"
"127","Johnny Stanton IV (FA)","3","5","1.7","3","0","0","2","2","7","3.5","1","0","3","7.2","2.4","0.0%"
"128","Jonathan Ward (ARI)","9","33","3.7","7","0","0","3","4","34","11.3","0","0","9","6.7","0.7","0.0%"
"129","Ito Smith (FA)","1","4","4.0","4","0","1","0","0","0","0","0","0","1","6.4","6.4","0.0%"
"130","Mike Boone (DEN)","4","35","8.8","16","0","0","2","2","22","11.0","0","0","3","5.7","1.9","0.1%"
"131","Trayveon Williams (CIN)","15","51","3.4","10","0","0","1","2","4","4.0","0","0","4","5.5","1.4","0.0%"
"132","Jason Huntley (PIT)","13","51","3.9","18","0","0","0","1","0","0","0","0","1","5.1","5.1","0.0%"
"133","Rodney Smith (FA)","0","0","0","0","0","0","5","5","48","9.6","0","0","1","4.8","4.8","0.0%"
"134","Wendell Smallwood (FA)","5","25","5.0","13","0","0","4","5","22","5.5","0","0","2","4.7","2.4","0.0%"
"135","Kalen Ballage (FA)","12","36","3.0","13","0","0","2","7","8","4.0","0","0","9","4.4","0.5","0.0%"
"136","Jakob Johnson (LV)","0","0","0","0","0","0","4","5","43","10.8","0","0","7","4.3","0.6","0.0%"
"137","La'Mical Perine (FA)","8","31","3.9","14","0","0","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"138","Kylin Hill (GB)","10","24","2.4","8","0","0","1","2","5","5.0","0","0","8","2.9","0.4","0.1%"
"139","Dwayne Washington (NO)","4","16","4.0","5","0","0","2","2","12","6.0","0","0","8","2.8","0.4","0.2%"
"140","Reggie Gilliam (BUF)","3","3","1.0","2","0","0","3","5","23","7.7","0","0","8","2.6","0.3","0.0%"
"141","Gabe Nabers (FA)","3","8","2.7","4","0","0","3","3","17","5.7","0","0","7","2.5","0.4","0.0%"
"142","Jaylen Samuels (FA)","5","9","1.8","3","0","0","3","4","14","4.7","0","0","3","2.3","0.8","0.0%"
"143","Scottie Phillips (FA)","6","13","2.2","4","0","0","2","3","9","4.5","0","0","3","2.2","0.7","0.0%"
"144","Patrick Laird (TB)","1","4","4.0","4","0","0","3","3","17","5.7","0","0","3","2.1","0.7","0.0%"
"145","Adam Prentice (NO)","3","5","1.7","2","0","0","3","3","16","5.3","0","0","5","2.1","0.4","0.0%"
"146","Nick Bawden (NYJ)","0","0","0","0","0","0","1","1","20","20.0","0","0","1","2.0","2.0","0.0%"
"147","Raheem Mostert (MIA)","2","20","10.0","11","0","0","0","0","0","0","0","0","1","2.0","2.0","57.8%"
"148","Darrynton Evans (CHI)","2","7","3.5","5","0","0","2","2","11","5.5","0","0","2","1.8","0.9","0.0%"
"149","Derek Watt (PIT)","1","1","1.0","1","0","0","3","3","15","5.0","0","0","11","1.6","0.1","0.1%"
"150","Reggie Bonnafon (FA)","1","4","4.0","4","0","0","2","2","12","6.0","0","0","1","1.6","1.6","0.0%"
"151","Trey Ragas (LAR)","1","9","9.0","9","0","0","2","2","6","3.0","0","0","1","1.5","1.5","0.0%"
"152","Anthony McFarland Jr. (PIT)","3","3","1.0","3","0","0","1","1","11","11.0","0","0","3","1.4","0.5","0.1%"
"153","John Kelly Jr. (CLE)","2","13","6.5","11","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"154","Cam Akers (LAR)","5","3","0.6","2","0","0","3","3","10","3.3","0","0","2","1.3","0.7","98.4%"
"155","Jacques Patrick (FA)","2","12","6.0","8","0","0","0","0","0","0","0","0","1","1.2","1.2","0.0%"
"156","Mekhi Sargent (JAC)","5","11","2.2","3","0","0","0","1","0","0","0","0","5","1.1","0.2","0.0%"
"157","Buddy Howell (FA)","5","11","2.2","4","0","0","0","0","0","0","0","0","5","1.1","0.2","0.0%"
"158","Gary Brightwell (NYG)","1","4","4.0","4","0","0","1","1","6","6.0","0","0","7","1.0","0.1","0.2%"
"159","Ryan Nall (FA)","1","4","4.0","4","0","0","1","1","4","4.0","0","0","5","0.8","0.2","0.0%"
"160","Damarea Crockett (DEN)","3","7","2.3","6","0","0","0","0","0","0","0","0","1","0.7","0.7","0.0%"
"161","Jake Funk (LAR)","2","5","2.5","6","0","0","0","0","0","0","0","0","5","0.5","0.1","0.1%"
"162","Devine Ozigbo (DEN)","1","-3","-3.0","0","0","0","1","1","7","7.0","0","0","2","0.4","0.2","0.0%"
"163","Nathan Cottrell (FA)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","0.0%"
"164","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"165","Kennedy Brooks (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Travis Etienne Jr. (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","97.2%"
"167","J.K. Dobbins (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","96.2%"
"168","LeVante Bellamy (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"169","Caleb Huntley (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Darius Anderson (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","Ty Chandler (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"172","Elijah Holyfield (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","Darius Bradwell (FA)","0","0","0","0","0","0","0","1","0","0","0","0","2","0.0","0.0","0.0%"
"174","Trevon Wesco (CHI)","0","0","0","0","0","0","3","5","35","11.7","0","0","8","0.0","0.0","0.0%"
"175","Cullen Gillaspia (FA)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"176","Sutton Smith (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"177","Andrew Beck (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"178","John Lovett (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Darwin Thompson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"180","Mike Weber (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Raheem Blackshear (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","2","0","0","0","0","9","0.0","0.0","0.0%"
"183","Antonio Williams (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"184","Pooka Williams Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"185","Brian Robinson Jr. (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","40.5%"
"186","Zamir White (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.8%"
"187","Justice Hill (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"188","Artavis Pierce (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"189","Rico Dowdle (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"190","Sewo Olonilua (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"191","Ben Mason (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Gerrid Doaks (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"193","Avery Williams (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","15","0.0","0.0","0.1%"
"194","Spencer Brown (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"195","Sincere McCormick (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"196","Keaontay Ingram (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"197","Tory Carter (TEN)","0","0","0","0","0","0","0","1","0","0","0","0","5","0.0","0.0","0.0%"
"198","Nick Ralston (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"199","Josh Johnson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"200","B.J. Emmons (FA)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"201","Kyren Williams (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"202","Zonovan Knight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"203","Jerrion Ealy (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"204","Snoop Conner (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"205","Ken Walker III (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","70.4%"
"206","Isaiah Spiller (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","13.1%"
"207","Kevin Harris (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"208","John Lovett (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Brittain Brown (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Connor Heyward (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"211","Julius Chestnut (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"212","ZaQuandre White (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Jake Tonges (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Zonovan Knight (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Trestan Ebner (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"216","Pierre Strong Jr. (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"217","Tyler Allgeier (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.0%"
"218","Zander Horvath (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Rachaad White (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","26.3%"
"220","D'Vonte Price (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Tyler Badie (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"222","Hassan Haskins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"223","Malik Davis (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Isiah Pacheco (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","24.9%"
"225","Bryant Koback (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"226","Jaylen Warren (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.1%"
"227","Tyrion Davis-Price (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.2%"
"228","Javian Hawkins (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"229","Breece Hall (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","96.9%"
"230","Tyler Goodson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Jordan Mason (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"232","James Cook (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","77.1%"
"233","Jashaun Corbin (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"234","Dameon Pierce (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","89.8%"
"235","Jerome Ford (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"236","Shane Bannon (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"237","Jay Finley (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
