"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"56","Gerald Everett (LAC)","1","2","3","3.0","3","0","0","0","0","0","0","1","0.3","0.3","17.0%"
"57","Feleipe Franks (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"58","Giovanni Ricci (CAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"59","Nick Bowers (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"60","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"61","Brevin Jordan (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.0%"
"62","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"63","Sean McKeon (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"64","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"65","Ben Ellefson (MIN)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"66","Noah Togiai (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"67","Charlie Woerner (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"68","Reggie Gilliam (BUF)","0","0","0","0","0","0","0","2","2","0","0","1","0.0","0.0","0.0%"
"69","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"70","Dalton Keene (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"71","Noah Gray (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"72","Will Dissly (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"73","J.J. Arcega-Whiteside (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
