"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Travis Kelce (KC)","105","145","1,416","13.5","45","29","11","0","0","0","1","15","207.8","13.9","100.0%"
"2","Darren Waller (LV)","107","145","1,196","11.2","38","19","9","0","0","0","2","16","171.6","10.7","99.7%"
"3","Robert Tonyan (GB)","52","59","586","11.3","45","13","11","0","0","0","0","16","124.6","7.8","23.3%"
"4","Mark Andrews (BAL)","58","88","701","12.1","39","13","7","0","0","0","0","14","112.1","8.0","100.0%"
"5","T.J. Hockenson (DET)","67","101","723","10.8","51","10","6","1","0","0","1","16","108.3","6.8","96.8%"
"6","Mike Gesicki (MIA)","53","85","703","13.3","70","14","6","0","0","0","0","15","106.3","7.1","59.2%"
"7","Logan Thomas (WAS)","72","110","670","9.3","30","6","6","3","5","0","0","16","104.6","6.5","5.5%"
"8","Rob Gronkowski (FA)","45","77","623","13.8","48","16","7","0","0","0","0","16","104.3","6.5","2.4%"
"9","Jonnu Smith (NE)","41","65","448","10.9","63","8","8","2","4","1","0","15","99.2","6.6","0.9%"
"10","Jimmy Graham (FA)","50","76","456","9.1","30","5","8","0","0","0","0","16","93.6","5.9","0.0%"
"11","Hayden Hurst (CIN)","56","88","571","10.2","42","8","6","0","0","0","0","16","93.1","5.8","14.8%"
"12","Jared Cook (FA)","37","60","504","13.6","46","12","7","0","0","0","1","15","90.4","6.0","0.1%"
"13","Noah Fant (SEA)","62","93","673","10.9","37","11","3","0","0","0","0","15","87.3","5.8","37.2%"
"14","Eric Ebron (FA)","56","91","558","10.0","27","6","5","0","0","0","1","15","85.8","5.7","0.0%"
"15","Hunter Henry (NE)","60","93","613","10.2","33","6","4","0","0","0","0","14","85.3","6.1","76.2%"
"16","Tyler Higbee (LAR)","44","60","521","11.8","44","14","5","1","1","0","0","15","84.2","5.6","52.4%"
"17","Dalton Schultz (DAL)","63","89","615","9.8","28","3","4","0","0","0","1","16","83.5","5.2","98.5%"
"18","Evan Engram (JAC)","63","109","654","10.4","53","12","1","6","26","1","1","16","78.0","4.9","22.8%"
"19","George Kittle (SF)","48","63","634","13.2","44","13","2","2","17","0","0","8","77.1","9.6","98.7%"
