"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"1","Mark Andrews (BAL)","107","153","1,361","12.7","43","27","9","1","0","0","0","17","194.1","11.4","100.0%"
"2","Travis Kelce (KC)","92","134","1,125","12.2","69","20","9","2","3","1","1","16","170.8","10.7","100.0%"
"3","Dalton Schultz (DAL)","78","104","808","10.4","32","8","8","0","0","0","0","17","130.8","7.7","98.3%"
"4","George Kittle (SF)","71","94","910","12.8","48","17","6","3","20","0","1","14","127.0","9.1","99.5%"
"5","Rob Gronkowski (FA)","55","88","802","14.6","42","20","6","0","0","0","0","12","116.2","9.7","2.6%"
"6","Dawson Knox (BUF)","49","71","587","12.0","53","14","9","0","4","0","0","15","115.1","7.7","91.9%"
"7","Hunter Henry (NE)","50","75","603","12.1","35","12","9","0","0","0","0","16","114.3","7.1","75.9%"
"8","Dallas Goedert (PHI)","56","76","830","14.8","45","18","4","0","0","0","0","15","109.0","7.3","96.0%"
"9","Kyle Pitts (ATL)","68","110","1,026","15.1","61","25","1","0","0","0","0","17","108.6","6.4","99.9%"
"10","Zach Ertz (ARI)","74","112","763","10.3","47","9","5","1","4","0","0","17","106.7","6.3","92.9%"
"11","Mike Gesicki (MIA)","73","112","780","10.7","40","15","2","0","0","0","0","17","92.0","5.4","62.1%"
"12","Pat Freiermuth (PIT)","60","79","497","8.3","24","2","7","0","0","0","1","16","91.7","5.7","86.3%"
"13","Noah Fant (SEA)","68","90","670","9.9","35","9","4","0","0","0","0","16","91.0","5.7","37.1%"
"14","Tyler Higbee (LAR)","61","85","560","9.2","37","4","5","0","0","0","0","15","86.0","5.7","53.3%"
"15","Jared Cook (FA)","48","83","564","11.8","42","9","4","0","0","0","0","16","84.4","5.3","0.1%"
"16","T.J. Hockenson (DET)","61","84","583","9.6","33","9","4","0","0","0","0","12","84.3","7.0","96.6%"
"17","C.J. Uzomah (NYJ)","49","63","493","10.1","55","13","5","0","0","0","0","16","79.3","5.0","1.6%"
"18","Darren Waller (LV)","55","93","665","12.1","33","15","2","0","0","0","0","11","78.5","7.1","99.6%"
"19","Tyler Conklin (NYJ)","61","87","593","9.7","40","7","3","0","0","0","0","17","77.3","4.5","1.1%"
"20","David Njoku (CLE)","36","53","475","13.2","71","15","4","1","1","0","0","15","71.6","4.8","59.1%"
"21","Gerald Everett (LAC)","48","63","478","10.0","41","8","4","3","20","0","2","15","69.8","4.7","17.0%"
"22","Cole Kmet (CHI)","60","93","612","10.2","25","7","0","1","0","0","0","17","61.2","3.6","83.0%"
"23","Evan Engram (JAC)","46","73","408","8.9","30","3","3","1","-3","0","1","15","56.5","3.8","23.0%"
"24","Mo Alie-Cox (IND)","24","45","316","13.2","37","6","4","0","0","0","0","17","55.6","3.3","6.9%"
"25","Foster Moreau (LV)","30","44","373","12.4","44","9","3","0","0","0","0","15","55.3","3.7","0.6%"
"26","Austin Hooper (TEN)","38","61","345","9.1","34","5","3","0","0","0","0","15","54.5","3.6","29.9%"
"27","Jack Doyle (FA)","29","43","302","10.4","34","4","3","0","0","0","0","15","50.2","3.3","2.0%"
"28","Cameron Brate (TB)","30","57","245","8.2","18","0","4","0","0","0","0","16","48.5","3.0","5.3%"
"29","Albert Okwuegbunam (DEN)","33","40","330","10.0","64","6","2","0","0","0","1","14","43.0","3.1","41.0%"
"30","Harrison Bryant (CLE)","21","28","233","11.1","41","6","3","0","0","0","0","15","41.3","2.8","0.3%"
"31","Dan Arnold (JAC)","35","52","408","11.7","28","2","0","0","0","0","1","11","40.8","3.7","0.3%"
"32","Juwan Johnson (NO)","13","22","159","12.2","27","3","4","0","0","0","0","13","39.9","3.1","0.0%"
"33","Jonnu Smith (NE)","28","45","294","10.5","28","5","1","9","40","0","0","16","39.4","2.5","0.9%"
"34","Anthony Firkser (ATL)","34","43","291","8.6","24","1","2","0","0","0","1","15","39.1","2.6","0.0%"
"35","Ricky Seals-Jones (FA)","30","49","271","9.0","39","2","2","0","0","0","0","11","39.1","3.6","0.1%"
