Player,FPTS,FPTS/G,Player Segment
Royce Freeman (HOU),24.85,1.85,0
Darrynton Evans (CHI),7.95,1.8499999999999999,0
Deon Jackson (IND),9.1,1.8,0
Jonathan Williams (WAS),8.65,1.7,0
Jordan Wilkins (FA),24.65,1.65,0
Alec Ingold (MIA),16.0,1.6,0
Corey Clement (FA),19.45,1.6,0
Ty Montgomery (NE),13.350000000000001,1.55,0
Trayveon Williams (CIN),11.1,1.5499999999999998,0
Trey Ragas (LAR),1.5,1.5,0
Tony Jones Jr. (NO),9.200000000000001,1.5,0
Larry Rountree III (LAC),14.6,1.5,0
Mike Boone (DEN),9.3,1.35,0
Qadree Ollison (DAL),8.0,1.35,0
LeSean McCoy (FA),13.2,1.3,0
John Kelly Jr. (CLE),1.3,1.3,0
Wendell Smallwood (FA),2.35,1.2,0
Johnny Stanton IV (FA),3.6,1.2,0
Elijhaa Penny (FA),15.2,1.2,0
Jacques Patrick (FA),1.2,1.2,0
C.J. Ham (MIN),16.7,1.15,0
Theo Riddick (FA),5.7,1.1,0
Patrick Ricard (BAL),10.55,1.1,0
Anthony McFarland Jr. (PIT),9.049999999999999,1.0,0
Darwin Thompson (SEA),13.1,1.0,0
Artavis Pierce (FA),4.7,0.95,0
Godwin Igwebuike (FA),14.0,0.9,0
Andy Janovich (FA),5.3,0.8,0
C.J. Prosise (FA),7.7,0.8,0
Patrick Laird (TB),7.05,0.75,0
Michael Burton (KC),8.149999999999999,0.75,0
Damarea Crockett (DEN),0.7,0.7,0
Gabe Nabers (FA),8.85,0.7,0
Jaylen Samuels (FA),4.85,0.65,0
Lamar Miller (FA),0.6,0.6,0
Jakob Johnson (LV),6.9,0.6,0
Anthony Sherman (FA),7.3,0.6,0
Jonathan Ward (ARI),6.9,0.6,0
Keith Smith (ATL),7.6499999999999995,0.55,0
Alex Armah Jr. (FA),5.449999999999999,0.5,0
Ryan Nall (FA),6.75,0.5,0
Scottie Phillips (FA),1.9000000000000001,0.44999999999999996,0
Reggie Gilliam (BUF),5.1,0.4,0
Kylin Hill (GB),2.9,0.4,0
Tony Brooks-James (FA),0.4,0.4,0
Adam Prentice (NO),2.1,0.4,0
Justice Hill (BAL),4.0,0.35,0
Buddy Howell (FA),3.9000000000000004,0.35,0
Devine Ozigbo (DEN),2.35,0.35,0
Dexter Williams (FA),0.8,0.3,0
Dwayne Washington (NO),2.15,0.25,0
Mekhi Sargent (JAC),1.1,0.2,0
LeVante Bellamy (FA),0.8,0.15,0
Senorise Perry (FA),0.9,0.1,0
D.J. Foster (FA),0.9,0.1,0
Gary Brightwell (NYG),1.0,0.1,0
Chandler Cox (FA),0.9,0.1,0
Trenton Cannon (TEN),1.6500000000000001,0.1,0
Jake Funk (LAR),0.5,0.1,0
Rico Dowdle (DAL),1.2,0.1,0
Cullen Gillaspia (FA),0.3,0.05,0
Nathan Cottrell (FA),0.15,0.05,0
Derek Watt (PIT),0.8,0.05,0
Khari Blasingame (CHI),1.45,0.04999999999999999,0
Taiwan Jones (BUF),0.0,0.0,0
Connor Heyward (PIT),0.0,0.0,0
Willie Carter (CHI),0.0,0.0,0
Xavier Jones (FA),0.0,0.0,0
Chad Spann (HOU),0.0,0.0,0
Sandro Platzgummer (NYG),0.0,0.0,0
Xavier Omon (SF),0.0,0.0,0
Samkon Gado (TEN),0.0,0.0,0
Trevon Wesco (CHI),0.0,0.0,0
ZaQuandre White (MIA),0.0,0.0,0
Chad Simpson (WAS),0.0,0.0,0
Caleb Huntley (ATL),0.0,0.0,0
Trestan Ebner (CHI),0.0,0.0,0
Zamir White (LV),0.0,0.0,0
Zander Horvath (LAC),0.0,0.0,0
Tory Carter (TEN),0.0,0.0,0
Dantrell Savage (CAR),0.0,0.0,0
Darius Anderson (HOU),0.0,0.0,0
Tyrion Davis-Price (SF),0.0,0.0,0
Tyler Goodson (GB),0.0,0.0,0
Travis Etienne Jr. (JAC),0.0,0.0,0
Taquan Mizzell (NYG),0.0,0.0,0
Sutton Smith (FA),0.0,0.0,0
Ty Chandler (MIN),0.0,0.0,0
Spencer Brown (FA),0.0,0.0,0
Dameon Pierce (HOU),0.0,0.0,0
Tyler Allgeier (ATL),0.0,0.0,0
D'Vonte Price (IND),0.0,0.0,0
Tim Flanders (NO),0.0,0.0,0
Snoop Conner (JAC),0.0,0.0,0
Darius Bradwell (FA),0.0,0.0,0
Trey Edmunds (FA),0.0,0.0,0
Sincere McCormick (LV),0.0,0.0,0
Shane Bannon (KC),0.0,0.0,0
Sewo Olonilua (FA),0.0,0.0,0
Tyler Badie (BAL),0.0,0.0,0
Jeremy Cox (FA),0.0,0.0,0
Elijah Holyfield (CIN),0.0,0.0,0
Jason Cabinda (DET),0.0,0.0,0
Jake Tonges (CHI),0.0,0.0,0
Kenny Irons (CIN),0.0,0.0,0
Kennedy Brooks (PHI),0.0,0.0,0
Kenjon Barner (TB),0.0,0.0,0
Bryant Koback (MIN),0.0,0.0,0
Ken Walker III (SEA),0.0,0.0,0
Keaontay Ingram (ARI),0.0,0.0,0
Bruce Miller (FA),0.0,0.0,0
James Cook (BUF),0.0,0.0,0
Brittain Brown (LV),0.0,0.0,0
Jashaun Corbin (NYG),0.0,0.0,0
Julius Chestnut (TEN),0.0,0.0,0
Josh Johnson (SEA),0.0,0.0,0
Elijah McGuire (FA),0.0,0.0,0
Brandin Bryant (BUF),0.0,0.0,0
Javian Hawkins (TEN),0.0,0.0,0
Javon Leake (FA),0.0,0.0,0
Jordan Mason (SF),0.0,0.0,0
Brian Robinson Jr. (WAS),0.0,0.0,0
Jay Finley (CIN),0.0,0.0,0
Breece Hall (NYJ),0.0,0.0,0
John Lovett (MIA),0.0,0.0,0
John Lovett (CAR),0.0,0.0,0
Brennan Clay (DEN),0.0,0.0,0
Jerrion Ealy (KC),0.0,0.0,0
Jerome Ford (CLE),0.0,0.0,0
Kevin Harris (NE),0.0,0.0,0
Jake Bargas (FA),0.0,0.0,0
Kyren Williams (LAR),0.0,0.0,0
Gerrid Doaks (HOU),0.0,0.0,0
Raymond Calais (FA),0.0,0.0,0
Andrew Beck (DEN),0.0,0.0,0
Raheem Blackshear (BUF),0.0,0.0,0
Rachaad White (TB),0.0,0.0,0
Pooka Williams Jr. (FA),0.0,0.0,0
Pierre Strong Jr. (NE),0.0,0.0,0
Jaylen Warren (PIT),0.0,0.0,0
Garrett Mills (NE),0.0,0.0,0
Nick Ralston (FA),0.0,0.0,0
Anthony Alridge (WAS),0.0,0.0,0
Nick Bellore (SEA),0.0,0.0,0
Mike Weber (NYG),0.0,0.0,0
Michael Warren II (FA),0.0,0.0,0
Avery Williams (ATL),0.0,0.0,0
B.J. Emmons (FA),0.0,0.0,0
Giovanni Ricci (CAR),0.0,0.0,0
Hassan Haskins (TEN),0.0,0.0,0
Malik Davis (DAL),0.0,0.0,0
Isaiah Spiller (LAC),0.0,0.0,0
Madison Hedgecock (NYG),0.0,0.0,0
Ben Mason (BAL),0.0,0.0,0
Isiah Pacheco (KC),0.0,0.0,0
J.P. Holtz (NO),0.0,0.0,0
Zonovan Knight (NYJ),0.0,0.0,0
Nate McCrary (FA),-0.1,-0.1,0
Adrian Killins Jr. (FA),-1.0,-1.0,0
