"Rank","Player","FG","FGA","PCT","LG","1-19","20-29","30-39","40-49","50+","XPT","XPA","G","FPTS","FPTS/G","ROST"
"1","Harrison Butker (KC)","34","38","89.5","56","0","9","9","13","3","45","48","16","166.0","10.4","97.6%"
"2","Wil Lutz (NO)","32","36","88.9","58","1","9","6","13","3","48","49","16","163.0","10.2","7.3%"
"3","Justin Tucker (BAL)","28","29","96.6","51","0","8","9","10","1","57","59","16","153.0","9.6","99.9%"
"4","Matt Gay (LAR)","27","35","77.1","58","0","6","5","11","5","43","48","16","145.0","9.1","98.0%"
"5","Zane Gonzalez (CAR)","31","35","88.6","54","0","12","12","5","2","34","35","16","136.0","8.5","0.1%"
"6","Josh Lambo (FA)","33","34","97.1","56","0","12","9","8","4","19","20","16","134.0","8.4","0.0%"
"7","Matt Prater (ARI)","26","31","83.9","56","0","11","2","6","7","35","36","16","133.0","8.3","76.5%"
"8","Dan Bailey (FA)","27","29","93.1","50","0","10","9","5","3","40","44","16","132.0","8.3","0.0%"
"9","Brandon McManus (DEN)","29","34","85.3","53","0","6","8","11","4","25","26","16","131.0","8.2","69.1%"
"10","Greg Zuerlein (NYJ)","24","33","72.7","58","0","7","7","5","5","42","42","16","129.0","8.1","2.0%"
"11","Chris Boswell (PIT)","29","31","93.5","51","1","11","7","9","1","28","28","16","126.0","7.9","11.2%"
"12","Joey Slye (WAS)","25","32","78.1","55","0","3","5","6","8","31","35","16","119.0","7.4","1.3%"
"13","Randy Bullock (TEN)","27","31","87.1","57","0","10","6","10","1","24","25","16","117.0","7.3","2.8%"
"14","Jason Myers (SEA)","23","28","82.1","54","0","6","11","4","2","40","44","16","117.0","7.3","1.0%"
"15","Robbie Gould (SF)","23","31","74.2","47","0","9","8","6","0","41","42","13","116.0","8.9","38.2%"
"16","Austin Seibert (DET)","25","29","86.2","53","0","6","9","9","1","30","35","16","116.0","7.3","0.9%"
"17","Jason Sanders (MIA)","23","30","76.7","54","0","7","8","5","3","29","30","16","115.1","7.2","5.0%"
"18","Mason Crosby (GB)","22","24","91.7","54","1","2","11","7","1","40","41","16","115.0","7.2","4.8%"
"19","Ka'imi Fairbairn (HOU)","20","25","80.0","54","0","5","8","4","3","40","45","16","110.0","6.9","0.3%"
"20","Jake Elliott (PHI)","22","26","84.6","53","0","7","8","5","2","35","37","16","109.0","6.8","25.7%"
